subject,age,condition,block_type,v,a
5513256cfdf99b1607b1f47b,32,Speed,Fixed,2.4442649347692433,0.26682610024940584
5513256cfdf99b1607b1f47b,32,Speed,Varying,1.6735915827989805,0.31715874457496834
5513256cfdf99b1607b1f47b,32,Accuracy,Fixed,2.678892245445484,0.8323725828093028
5513256cfdf99b1607b1f47b,32,Accuracy,Varying,2.866318787425913,1.0466739706256418
55899b8dfdf99b7ae47f5fa4,65,Speed,Fixed,3.0975398844085484,1.3303939089998393
55899b8dfdf99b7ae47f5fa4,65,Speed,Varying,2.9558863394965753,1.4628993387605562
55899b8dfdf99b7ae47f5fa4,65,Accuracy,Fixed,3.049805611030802,1.5343975689075933
55899b8dfdf99b7ae47f5fa4,65,Accuracy,Varying,2.9838952193183044,1.5450175495247631
55900dcffdf99b3f7aada3f5,73,Speed,Fixed,2.231671040479041,1.4749175813069955
55900dcffdf99b3f7aada3f5,73,Speed,Varying,2.786165687311075,1.4056858607434437
55900dcffdf99b3f7aada3f5,73,Accuracy,Fixed,3.0414528127201743,1.7018731463707346
55900dcffdf99b3f7aada3f5,73,Accuracy,Varying,2.470022250942643,1.3452914596325583
55ad7888fdf99b6eff50171d,63,Speed,Fixed,1.7207044542378487,1.0536790223993389
55ad7888fdf99b6eff50171d,63,Speed,Varying,3.2535128725301816,0.9365636772304339
55ad7888fdf99b6eff50171d,63,Accuracy,Fixed,3.6675441371699917,1.2420733359125984
55ad7888fdf99b6eff50171d,63,Accuracy,Varying,3.8645603259519077,1.0872665253370812
55b6d0a4fdf99b437183f9b5,62,Speed,Fixed,3.2808955854966415,1.1259051092009347
55b6d0a4fdf99b437183f9b5,62,Speed,Varying,2.6287663147690346,1.1969330994000902
55b6d0a4fdf99b437183f9b5,62,Accuracy,Fixed,3.824526093926255,1.1864890451223735
55b6d0a4fdf99b437183f9b5,62,Accuracy,Varying,2.799514639747869,1.1609328576921618
55d4cb9158c35800113dc22e,43,Speed,Fixed,3.312035425450554,0.7202878644634455
55d4cb9158c35800113dc22e,43,Speed,Varying,3.3601692953182805,0.801017052416804
55d4cb9158c35800113dc22e,43,Accuracy,Fixed,4.19905713787677,0.7135251752331219
55d4cb9158c35800113dc22e,43,Accuracy,Varying,3.8198926934495536,0.7478499550441081
55d86f3569dbc30012b6869f,34,Speed,Fixed,2.5053406763607007,0.9260099188051174
55d86f3569dbc30012b6869f,34,Speed,Varying,2.310860357375909,0.7825443554535374
55d86f3569dbc30012b6869f,34,Accuracy,Fixed,3.117296445913357,1.0922781955983762
55d86f3569dbc30012b6869f,34,Accuracy,Varying,2.9582154283070996,1.038217369113205
56caf7b564c068000c4d798a,42,Speed,Fixed,2.7764567683715313,0.9458357386965228
56caf7b564c068000c4d798a,42,Speed,Varying,2.2483389383186028,0.38919301627390507
56caf7b564c068000c4d798a,42,Accuracy,Fixed,3.5733550483145056,1.2109051634107397
56caf7b564c068000c4d798a,42,Accuracy,Varying,3.5337407324194414,1.1268154405979083
56f2a5e0ed0cf6000691320b,74,Speed,Fixed,2.309302888475653,0.9690636115869884
56f2a5e0ed0cf6000691320b,74,Speed,Varying,2.160876597995782,1.0345905107874447
56f2a5e0ed0cf6000691320b,74,Accuracy,Fixed,3.1854749362582293,1.6776084506247047
56f2a5e0ed0cf6000691320b,74,Accuracy,Varying,2.39081684715648,1.354754322017677
