subject,age,condition,v,a
5513256cfdf99b1607b1f47b,32,Fixed,2.5615785901073638,0.5495993415293543
5513256cfdf99b1607b1f47b,32,Varying,2.2699551851124466,0.6819163576003051
55899b8dfdf99b7ae47f5fa4,65,Fixed,3.0736727477196752,1.4323957389537163
55899b8dfdf99b7ae47f5fa4,65,Varying,2.96989077940744,1.5039584441426597
55900dcffdf99b3f7aada3f5,73,Fixed,2.6365619265996076,1.588395363838865
55900dcffdf99b3f7aada3f5,73,Varying,2.628093969126859,1.375488660188001
55ad7888fdf99b6eff50171d,63,Fixed,2.69412429570392,1.1478761791559686
55ad7888fdf99b6eff50171d,63,Varying,3.5590365992410447,1.0119151012837575
55b6d0a4fdf99b437183f9b5,62,Fixed,3.552710839711448,1.156197077161654
55b6d0a4fdf99b437183f9b5,62,Varying,2.714140477258452,1.178932978546126
55d4cb9158c35800113dc22e,43,Fixed,3.7555462816636624,0.7169065198482837
55d4cb9158c35800113dc22e,43,Varying,3.5900309943839166,0.774433503730456
55d86f3569dbc30012b6869f,34,Fixed,2.811318561137029,1.0091440572017467
55d86f3569dbc30012b6869f,34,Varying,2.634537892841504,0.9103808622833713
56caf7b564c068000c4d798a,42,Fixed,3.1749059083430184,1.0783704510536312
56caf7b564c068000c4d798a,42,Varying,2.891039835369022,0.7580042284359066
56f2a5e0ed0cf6000691320b,74,Fixed,2.747388912366941,1.3233360311058464
56f2a5e0ed0cf6000691320b,74,Varying,2.275846722576131,1.1946724164025608
58189c1f883c8800010ee630,50,Fixed,2.1650759844175336,1.0730855501587953
58189c1f883c8800010ee630,50,Varying,2.0061435940287233,1.0952147948363846
58b2338a898c2e0001a5ca56,62,Fixed,2.685709778046148,1.0441961813420173
58b2338a898c2e0001a5ca56,62,Varying,2.3121294092505944,0.9982063177638177
598ba20f716a2c000187ce01,52,Fixed,4.355714033178396,0.9884669857603722
598ba20f716a2c000187ce01,52,Varying,3.439558655920158,0.9737956145225114
59c41e340c5fc800011940f3,59,Fixed,2.9685517489483,0.9986661734531118
59c41e340c5fc800011940f3,59,Varying,3.067202344795312,0.8423684091797005
59e62b6277860e0001512e14,70,Fixed,1.9038404316919624,1.0345134081810685
59e62b6277860e0001512e14,70,Varying,2.1805523325981184,1.2839571038325408
5a5d0554ac562400015402dd,63,Fixed,1.6775267345017721,0.9133840513058857
5a5d0554ac562400015402dd,63,Varying,1.668596383966654,0.8496563757102062
5a7a88b1f1408d0001761d2d,46,Fixed,2.642472927709464,1.1513631176882668
5a7a88b1f1408d0001761d2d,46,Varying,2.7025084863553306,1.2651046522408416
5ab9d6b0e734400001d9b76a,56,Fixed,2.0162547177281325,1.4017861032182726
5ab9d6b0e734400001d9b76a,56,Varying,2.6357203632683555,1.4666957731661836
5add6b6aeb60400001536f2c,70,Fixed,3.5686016079769094,1.1507680165393404
5add6b6aeb60400001536f2c,70,Varying,3.506956556181995,0.9906647268429748
5b180cd1db971600013d34cc,38,Fixed,2.493232098601356,0.9305050524257452
5b180cd1db971600013d34cc,38,Varying,2.1094714356566544,0.8835944842972556
5b4e482fb8b20a00015a9e2e,86,Fixed,2.1263066446417698,0.7609586976278496
5b4e482fb8b20a00015a9e2e,86,Varying,2.5635671700118268,1.2880349705150385
5ba4057af0741400010637b9,61,Fixed,2.187933745697027,1.1983683108470893
5ba4057af0741400010637b9,61,Varying,3.363487162973989,1.8386567599771593
5bc934c69427200001dd4ef2,67,Fixed,2.742535899031176,1.1867720869317568
5bc934c69427200001dd4ef2,67,Varying,2.619898612787096,1.1529781411976536
5bdc8d12b2fff7000189b6f8,72,Fixed,2.8923242752427476,0.9209677818637404
5bdc8d12b2fff7000189b6f8,72,Varying,2.025598234726812,1.0099667320659804
5c03688d29abc00001991a3a,25,Fixed,2.1347558690663426,0.6522411510948918
5c03688d29abc00001991a3a,25,Varying,2.3303823630886518,0.522578833846777
5c0fcccc1f6f150001487111,60,Fixed,2.0341798961119237,1.0277502015987583
5c0fcccc1f6f150001487111,60,Varying,2.3651862816258364,1.0458440303533503
5c19fd69e567460001839e98,70,Fixed,2.1662727130876127,1.395652806812625
5c19fd69e567460001839e98,70,Varying,2.166458856897194,1.2728534797325783
5c1ffe5295f978000173df84,65,Fixed,2.305231172203196,0.8691842006446576
5c1ffe5295f978000173df84,65,Varying,2.2665617920746217,0.9175475322091983
5c330cefca23620001b262b1,58,Fixed,3.4511109852098913,1.1566171396164087
5c330cefca23620001b262b1,58,Varying,3.0521342668509686,1.0561455887882614
5c40134b1580e900012320ab,43,Fixed,3.095456749076128,1.1233967621731904
5c40134b1580e900012320ab,43,Varying,2.669129725050496,0.9672502804092236
5c567e2acc53750001751cb0,75,Fixed,3.1442425344536487,1.5751894462919713
5c567e2acc53750001751cb0,75,Varying,3.0140961358395657,1.5812000934090529
