subject,age,condition,v,a
5513256cfdf99b1607b1f47b,32,Speed,2.058928258784112,0.2919924224121871
5513256cfdf99b1607b1f47b,32,Accuracy,2.7726055164356986,0.9395232767174723
55899b8dfdf99b7ae47f5fa4,65,Speed,3.0267131119525614,1.3966466238801978
55899b8dfdf99b7ae47f5fa4,65,Accuracy,3.0168504151745537,1.5397075592161782
55900dcffdf99b3f7aada3f5,73,Speed,2.508918363895058,1.4403017210252196
55900dcffdf99b3f7aada3f5,73,Accuracy,2.7557375318314086,1.5235823030016464
55ad7888fdf99b6eff50171d,63,Speed,2.4871086633840145,0.9951213498148863
55ad7888fdf99b6eff50171d,63,Accuracy,3.76605223156095,1.1646699306248398
55b6d0a4fdf99b437183f9b5,62,Speed,2.954830950132838,1.1614191043005124
55b6d0a4fdf99b437183f9b5,62,Accuracy,3.312020366837062,1.1737109514072677
55d4cb9158c35800113dc22e,43,Speed,3.3361023603844173,0.7606524584401247
55d4cb9158c35800113dc22e,43,Accuracy,4.009474915663162,0.730687565138615
55d86f3569dbc30012b6869f,34,Speed,2.4081005168683047,0.8542771371293275
55d86f3569dbc30012b6869f,34,Accuracy,3.0377559371102283,1.0652477823557904
56caf7b564c068000c4d798a,42,Speed,2.512397853345067,0.6675143774852139
56caf7b564c068000c4d798a,42,Accuracy,3.5535478903669735,1.168860302004324
56f2a5e0ed0cf6000691320b,74,Speed,2.2350897432357173,1.0018270611872164
56f2a5e0ed0cf6000691320b,74,Accuracy,2.7881458917073547,1.5161813863211908
58189c1f883c8800010ee630,50,Speed,1.9084488876132584,1.0636398058056968
58189c1f883c8800010ee630,50,Accuracy,2.262770690832998,1.104660539189483
58b2338a898c2e0001a5ca56,62,Speed,1.972757625140414,1.024514006669127
58b2338a898c2e0001a5ca56,62,Accuracy,3.0250815621563283,1.0178884924367082
598ba20f716a2c000187ce01,52,Speed,3.0907429128524013,0.6492440142610366
598ba20f716a2c000187ce01,52,Accuracy,4.704529776246153,1.3130185860218468
59c41e340c5fc800011940f3,59,Speed,1.7816236481105185,0.5220551694281843
59c41e340c5fc800011940f3,59,Accuracy,4.254130445633094,1.318979413204628
59e62b6277860e0001512e14,70,Speed,1.5653266007055946,1.0765030978268197
59e62b6277860e0001512e14,70,Accuracy,2.5190661635844855,1.2419674141867896
5a5d0554ac562400015402dd,63,Speed,1.1829825633778492,0.5661672365702066
5a5d0554ac562400015402dd,63,Accuracy,2.1631405550905765,1.1968731904458854
5a7a88b1f1408d0001761d2d,46,Speed,2.782972914357318,1.2064387435871016
5a7a88b1f1408d0001761d2d,46,Accuracy,2.562008499707477,1.2100290263420068
5ab9d6b0e734400001d9b76a,56,Speed,2.1294582330775924,1.246301675630904
5ab9d6b0e734400001d9b76a,56,Accuracy,2.5225168479188955,1.6221802007535522
5add6b6aeb60400001536f2c,70,Speed,3.5562843584485937,1.0121296760568572
5add6b6aeb60400001536f2c,70,Accuracy,3.5192738057103106,1.129303067325458
5b180cd1db971600013d34cc,38,Speed,1.8882304046343639,0.7192340454207081
5b180cd1db971600013d34cc,38,Accuracy,2.7144731296236464,1.0948654913022924
5b4e482fb8b20a00015a9e2e,86,Speed,2.1107706171956306,0.9319180147787048
5b4e482fb8b20a00015a9e2e,86,Accuracy,2.579103197457966,1.1170756533641832
5ba4057af0741400010637b9,61,Speed,2.257330639217671,1.3792885199294773
5ba4057af0741400010637b9,61,Accuracy,3.294090269453345,1.6577365508947712
5bc934c69427200001dd4ef2,67,Speed,2.4969404332639287,1.147631930841415
5bc934c69427200001dd4ef2,67,Accuracy,2.865494078554343,1.1921182972879956
5bdc8d12b2fff7000189b6f8,72,Speed,2.2718183851990426,0.8133413561706516
5bdc8d12b2fff7000189b6f8,72,Accuracy,2.6461041247705173,1.117593157759069
5c03688d29abc00001991a3a,25,Speed,1.5134517573295343,0.3428784588726414
5c03688d29abc00001991a3a,25,Accuracy,2.9516864748254603,0.8319415260690273
5c0fcccc1f6f150001487111,60,Speed,1.2590341369643232,0.4348575385431552
5c0fcccc1f6f150001487111,60,Accuracy,3.1403320407734365,1.6387366934089533
5c19fd69e567460001839e98,70,Speed,2.111122944112101,1.418317754592643
5c19fd69e567460001839e98,70,Accuracy,2.221608625872706,1.2501885319525603
5c1ffe5295f978000173df84,65,Speed,1.4973761096845974,0.4566827141703504
5c1ffe5295f978000173df84,65,Accuracy,3.07441685459322,1.3300490186835054
5c330cefca23620001b262b1,58,Speed,3.2137494234042308,1.0844927203371466
5c330cefca23620001b262b1,58,Accuracy,3.289495828656629,1.1282700080675234
5c40134b1580e900012320ab,43,Speed,2.8914881311503278,0.8628856268724376
