param,Estimate,SE,CI_lo,CI_hi,P_lt0,pd,p_tail,sig,Rhat,ESS
v_Intercept,2.6026307431598665,0.04804458708619468,2.5095386399374076,2.6972604400584834,0.0,1.0,0.0,***,1.01733766704062,245.96801366238702
v_intervalType,0.39271764990272406,0.04313468621135387,0.3069675252884471,0.4781322876105809,0.0,1.0,0.0,***,1.0112985791866984,507.67311570827854
v_Switch,0.020864640187252127,0.014773443130206182,-0.007749661603501092,0.04989221960741732,0.083,0.917,0.083,n.s.,1.0010279143706142,1956.2013574366422
v_Age,0.012831737294705704,0.205532710020276,-0.3867689633380283,0.4113599094233766,0.46475,0.53525,0.46475,n.s.,1.0044878800037393,227.6766501766174
v_congruency,0.7026327532854438,0.03513123338597399,0.6293649046386257,0.7707692326002801,0.0,1.0,0.0,***,1.0039849926797075,919.0715197919029
v_intervalType:Switch,0.024265278568149286,0.02923375286576138,-0.033480404593753677,0.08264990349515468,0.20275,0.79725,0.20275,n.s.,1.0015069259971336,1924.0051988354328
v_intervalType:Age,-0.21496638018185432,0.1937652363118532,-0.5885379823312616,0.1696202904501826,0.863,0.863,0.137,n.s.,1.011515154580385,525.0954244945833
v_Switch:Age,-0.007706472303216321,0.0680378570139654,-0.14167578423138133,0.1265927078675556,0.54175,0.54175,0.45825000000000005,n.s.,1.0017383808594578,1964.2347376473465
v_intervalType:Switch:Age,-0.16086223965141835,0.13629555675419996,-0.4268494337627694,0.10599412190030859,0.88075,0.88075,0.11924999999999997,n.s.,1.000680609641003,1975.9936818804426
a_Intercept,1.071707735858737,0.01831705852062588,1.035542238864433,1.1067828584461352,0.0,1.0,0.0,***,1.0079146807955857,223.78900109884108
a_intervalType,0.2581013806266569,0.024409882430049264,0.21195924255156517,0.305858246504748,0.0,1.0,0.0,***,1.0196079685263786,269.8414612286888
a_Switch,0.0007691913645160152,0.004698094669070363,-0.008546482446213335,0.00976579740836994,0.43325,0.56675,0.43325,n.s.,1.0005081858125104,1683.980416262391
a_Age,0.19494209115908173,0.07546163994063868,0.03898265248156546,0.3395361836213452,0.007,0.993,0.007,**,1.0132489161498852,203.45990521854216
a_scaledRunningTime,-0.059381907563569966,0.002561294951991956,-0.06443308724553923,-0.054474876694002174,1.0,1.0,0.0,***,1.007230179423435,925.489310683502
a_intervalType:Switch,0.020813323338181013,0.009418453587910845,0.002776537705049239,0.03922792534470557,0.0105,0.9895,0.0105,*,1.003733142078686,1598.665793226358
a_intervalType:Age,-0.09577102581234442,0.1114477865339105,-0.3186901825008532,0.1188803192245043,0.8,0.8,0.19999999999999996,n.s.,1.006334209612833,332.5346202262273
a_Switch:Age,-0.012536368982371112,0.021818060113010462,-0.055585381983930204,0.028696764423100724,0.7095,0.7095,0.2905,n.s.,1.0022181752112171,1359.2700517189867
a_intervalType:Switch:Age,-0.04416904872889378,0.043004469557038696,-0.12779878530263006,0.038817465214889685,0.84625,0.84625,0.15375000000000005,n.s.,1.0003109984862129,1477.6998159413454
