Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
657c736637e9bee3829c8a05,5d617ba9364f9a0019f1dac3,APPROVED,2023-12-15T15:40:43.826000Z,2023-12-15T16:27:22.579000Z,2023-12-18T21:29:54.892000Z,2023-12-15T16:27:23.116798Z,2799.0,565DE625,5456,English,37,Female,Asian,Japan,United States,United States,Japanese,No,DATA_EXPIRED,
657c74edf1c9a69870452e5d,5c8f224c9d2bff0001867ce2,APPROVED,2023-12-15T15:50:12.551000Z,2023-12-15T17:17:01.234000Z,2023-12-18T21:29:55.323000Z,2023-12-15T17:17:01.729732Z,5209.0,565DE625,1320,English,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
657c784d5caa3c86c2a9065f,65198ba1126ba439e0d8f29f,APPROVED,2023-12-15T16:01:22.288000Z,2023-12-15T17:00:59.266000Z,2023-12-18T21:29:55.537000Z,2023-12-15T17:00:59.790228Z,3577.0,565DE625,486,English,42,Female,White,United States,United States,United States,English,Yes,Part-Time,
657c7960c372fc150e31a029,5b180cd1db971600013d34cc,APPROVED,2023-12-15T16:05:58.224000Z,2023-12-15T17:01:03.206000Z,2023-12-18T21:29:55.737000Z,2023-12-15T17:01:03.813489Z,3305.0,565DE625,2399,English,38,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
657c79672339b131aac9d259,6171125c1d572c106f10824e,APPROVED,2023-12-15T16:06:04.054000Z,2023-12-15T16:51:53.656000Z,2023-12-18T21:29:55.953000Z,2023-12-15T16:51:54.613302Z,2750.0,565DE625,2562,English,39,Female,White,United States,United States,United States,English,No,Part-Time,
657c79e0c372fc150e31a043,636acaf0ab9c76f449b54f2b,APPROVED,2023-12-15T16:14:11.729000Z,2023-12-15T17:18:19.718000Z,2023-12-18T21:29:56.161000Z,2023-12-15T17:18:20.323691Z,3848.0,565DE625,1712,"English, German, French",43,Male,Black,United Kingdom,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
657c7a58e56624f8281a50f2,60fece35afedb0bdd821592a,APPROVED,2023-12-15T16:10:03.394000Z,2023-12-15T16:56:43.801000Z,2023-12-18T21:29:56.356000Z,2023-12-15T16:56:44.300159Z,2801.0,565DE625,1480,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
657c7acdd23e57ed188e1ff5,62df7fc27c9e824a7a774103,APPROVED,2023-12-15T16:12:03.438000Z,2023-12-15T16:59:07.614000Z,2023-12-18T21:29:56.550000Z,2023-12-15T16:59:08.222232Z,2825.0,565DE625,904,English,40,Male,White,United States,United States,United States,English,No,Full-Time,
657c7b4263369ddf5e6270f1,6563003ce4f5a268a959df06,APPROVED,2023-12-15T16:13:58.721000Z,2023-12-15T17:42:35.860000Z,2023-12-18T21:29:56.745000Z,2023-12-15T17:42:36.471724Z,5318.0,565DE625,83,English,36,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
657c7cbb00d42bf2add7c6e2,632f7d0761bce49001d13953,APPROVED,2023-12-15T16:20:24.827000Z,2023-12-15T17:38:14.227000Z,2023-12-18T21:29:56.945000Z,2023-12-15T17:38:14.821106Z,4670.0,565DE625,775,English,40,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
657c7cf25caa3c86c2a90784,631b428359f449b8159625f8,APPROVED,2023-12-15T16:21:22.429000Z,2023-12-15T17:14:13.583000Z,2023-12-18T21:29:57.585000Z,2023-12-15T17:14:14.079388Z,3172.0,565DE625,971,English,36,Male,Asian,United States,United States,United States,English,No,Full-Time,
657c7e2d2be281aed5c92ccf,63617d69f2a3425296c8d89e,APPROVED,2023-12-15T16:26:28.423000Z,2023-12-15T17:18:06.967000Z,2023-12-18T21:29:57.806000Z,2023-12-15T17:18:07.418569Z,3099.0,565DE625,819,English,35,Male,Black,United States,United States,United States,English,Yes,Full-Time,
657c7e9f414939a328e1110f,5ec1c41a1f98090e8c119332,APPROVED,2023-12-15T16:28:20.493000Z,2023-12-15T17:16:16.052000Z,2023-12-18T21:29:58.004000Z,2023-12-15T17:16:16.580459Z,2876.0,565DE625,3911,English,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
657c7eb884fe5455fb8ff10c,5e85088b3f06400f3f75e21f,APPROVED,2023-12-15T16:33:24.946000Z,2023-12-15T17:16:54.781000Z,2023-12-18T21:29:58.191000Z,2023-12-15T17:16:55.278758Z,2610.0,565DE625,718,English,35,Male,White,United States,United States,United States,English,Yes,Part-Time,
657c7f06e6326ec691d37ca0,5d0d3bc8f403080016411213,APPROVED,2023-12-15T16:30:09.909000Z,2023-12-15T17:22:05.208000Z,2023-12-18T21:29:58.378000Z,2023-12-15T17:22:05.910581Z,3116.0,565DE625,341,English,36,Female,Black,United States,United States,United States,English,No,Part-Time,
657c7f4f596e8a3993fd570c,651eb3bc379e71c4df3b95a7,APPROVED,2023-12-15T16:31:20.684000Z,2023-12-15T17:19:53.139000Z,2023-12-18T21:29:58.568000Z,2023-12-15T17:19:53.726870Z,2913.0,565DE625,238,"English, German",41,Female,Mixed,United States,United States,United States,English,No,Other,
657c7fa020fe74777a9e0b8a,611e99910d64a6ea6d18b0a6,APPROVED,2023-12-15T16:32:40.074000Z,2023-12-15T17:21:06.096000Z,2023-12-18T21:29:58.854000Z,2023-12-15T17:21:06.698384Z,2907.0,565DE625,301,English,45,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
