Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
657c759749d71d74f5b93849,5bc934c69427200001dd4ef2,APPROVED,2023-12-15T15:49:50.902000Z,2023-12-15T16:42:12.161000Z,2023-12-18T21:31:07.960000Z,2023-12-15T16:42:12.600100Z,3142.0,565DE625,2327,English,67,Female,White,United States,United States,United States,English,No,Full-Time,
657c82764cc12a14ebbf4db7,637656f618065b68614915b0,APPROVED,2023-12-15T16:44:47.094000Z,2023-12-15T17:37:16.315000Z,2023-12-18T21:31:08.268000Z,2023-12-15T17:37:16.801795Z,3150.0,565DE625,2986,"English, Spanish",65,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
657c84e163369ddf5e6272ff,63f7a192f23f12b947c92d36,APPROVED,2023-12-15T16:55:04.808000Z,2023-12-15T17:45:08.326000Z,2023-12-18T21:31:08.463000Z,2023-12-15T17:45:08.819165Z,3004.0,565DE625,384,"Twi, French, English",67,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
657c8ac1cce9e8542cd8bcf5,6384e535ba619451063f5223,APPROVED,2023-12-15T17:28:27.639000Z,2023-12-15T18:15:09.980000Z,2023-12-18T21:31:08.637000Z,2023-12-15T18:15:10.444465Z,2803.0,565DE625,2811,English,69,Female,White,United States,United States,United States,English,No,Part-Time,
657c8db45d901aa0f809a6f1,5cf3f7364bcc6400019d71fa,APPROVED,2023-12-15T17:32:40.666000Z,2023-12-15T18:19:29.524000Z,2023-12-18T21:31:08.816000Z,2023-12-15T18:19:29.953564Z,2809.0,565DE625,6837,English,66,Female,White,United States,United States,United States,English,No,Full-Time,
657c8efd377638a7b909a632,64467092479723cb7906e371,APPROVED,2023-12-15T17:38:09.347000Z,2023-12-15T18:42:02.417000Z,2023-12-18T21:31:08.989000Z,2023-12-15T18:42:02.848875Z,3834.0,565DE625,753,English,67,Female,Black,Ghana,United States,United States,English,Yes,Part-Time,
657c8fddb3a3c77f3ff2c105,60dfd857e293a99dd577f4c8,APPROVED,2023-12-15T17:41:55.949000Z,2023-12-15T18:31:25.618000Z,2023-12-18T21:31:09.164000Z,2023-12-15T18:31:26.078910Z,2970.0,565DE625,5177,English,66,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
657c9204e6326ec691d381e1,607c9f94cc974d4ea1dc22c8,APPROVED,2023-12-15T17:51:09.729000Z,2023-12-15T18:49:56.304000Z,2023-12-18T21:31:09.334000Z,2023-12-15T18:49:57.049638Z,3527.0,565DE625,2279,English,67,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
657c92acddb5579e35881a20,646fea6f93d07b0354140441,APPROVED,2023-12-15T17:53:58.957000Z,2023-12-15T19:36:33.915000Z,2023-12-18T21:31:09.512000Z,2023-12-15T19:36:34.361641Z,6155.0,NOCODE,1775,English,66,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
657caccd22f9617fcc0df491,59e62b6277860e0001512e14,APPROVED,2023-12-15T19:45:25.530000Z,2023-12-15T20:42:05.644000Z,2023-12-18T21:31:09.689000Z,2023-12-15T20:42:06.466153Z,3401.0,565DE625,5492,"English, French, Spanish",70,Male,Mixed,Cuba,United States,United States,English,No,DATA_EXPIRED,
