Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65cf78810014b7f6e7741ccb,6562a00a9989d4018001bf4b,APPROVED,Not Applicable,2024-02-16T15:00:23.199000Z,2024-02-16T15:51:52.970000Z,2024-02-20T20:00:00.371000Z,2024-02-16T15:51:53.497642Z,3090.0,565DE625,311,English,19,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
65cf89fd2cc09f459c5a4366,61086f515114c26363323a17,APPROVED,Not Applicable,2024-02-16T16:16:35.759000Z,2024-02-16T16:58:22.689000Z,2024-02-20T20:00:00.684000Z,2024-02-16T16:58:23.150171Z,2507.0,565DE625,2685,"French, English",21,Female,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking)
65cf8aafec2d09d80040ec6e,65cba5349f4e1e5dfbe80fe8,APPROVED,Not Applicable,2024-02-16T16:17:59.318000Z,2024-02-16T17:02:18.083000Z,2024-02-20T20:00:00.896000Z,2024-02-16T17:02:18.708307Z,2659.0,565DE625,21,English,21,Female,Asian,United States,United States,United States,English,Yes,Other
65cf8adf672d35ea7ae4e845,6578fbf39f92169f4d1cafd8,APPROVED,Not Applicable,2024-02-16T16:18:59.651000Z,2024-02-16T17:00:54.725000Z,2024-02-20T20:00:01.096000Z,2024-02-16T17:00:55.283562Z,2516.0,565DE625,187,"Chinese, English",19,Male,Asian,United States,United States,United States,Chinese,Yes,Full-Time
65cf8b02fd27b8ae6ca7f92c,65b7cdf3b37c022bf3e2cc76,APPROVED,Not Applicable,2024-02-16T16:19:24.424000Z,2024-02-16T17:10:09.243000Z,2024-02-20T20:00:01.296000Z,2024-02-16T17:10:10.513817Z,3045.0,565DE625,72,English,20,Female,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking)
65cf8b266f1dca6b3fcd1675,65ad699497248a4a154e6324,APPROVED,Not Applicable,2024-02-16T16:20:14.562000Z,2024-02-16T17:24:35.476000Z,2024-02-20T20:00:01.494000Z,2024-02-16T17:24:35.963542Z,3861.0,565DE625,128,"English, Spanish",18,Male,White,United States,United States,United States,English,Yes,Part-Time
65cf8b38e3a7051c5d899413,65cb8292298849ae456f1efa,APPROVED,Not Applicable,2024-02-16T16:20:18.246000Z,2024-02-16T17:25:56.241000Z,2024-02-20T20:00:01.697000Z,2024-02-16T17:25:56.716805Z,3938.0,565DE625,11,English,19,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
65cf8b5a68f9233524c9220c,63d7f351fba1bcc7342f3b04,APPROVED,Not Applicable,2024-02-16T16:20:49.012000Z,2024-02-16T17:01:02.281000Z,2024-02-20T20:00:01.918000Z,2024-02-16T17:01:02.856918Z,2414.0,565DE625,20,English,21,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
65cf90cfc615a979ab688adf,65412ca42e0e2fbb27b8a7b2,APPROVED,Not Applicable,2024-02-16T16:44:17.437000Z,2024-02-16T17:26:43.943000Z,2024-02-20T20:00:02.129000Z,2024-02-16T17:26:44.580848Z,2547.0,565DE625,576,"English, Urdu",18,Male,Asian,United States,United States,United States,English,Yes,Other
65cf878cc2729754499a298d,653fce131111eb392931bac5,RETURNED,Not Applicable,2024-02-16T16:06:21.156000Z,,,,,,258,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
