Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65cf9499c2729754499a2bce,614faf3a7eeacf6f1d2afcf3,APPROVED,Not Applicable,2024-02-16T17:00:23.426000Z,2024-02-16T17:39:43.473000Z,2024-02-20T20:01:11.101000Z,2024-02-16T17:39:43.984635Z,2361.0,565DE625,77,"Italian, English",28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65cf9d8ae40754f2d612200b,6508b6a9a04f095add47027b,APPROVED,Not Applicable,2024-02-16T17:43:41.897000Z,2024-02-16T18:40:01.240000Z,2024-02-20T20:01:11.460000Z,2024-02-16T18:40:01.737598Z,3380.0,565DE625,295,English,27,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
65cf9df87345c3344540e579,5f68ec6d717b8c090ca23ee3,APPROVED,Not Applicable,2024-02-16T17:44:43.934000Z,2024-02-16T19:31:25.010000Z,2024-02-20T20:01:11.685000Z,2024-02-16T19:31:25.438184Z,6402.0,NOCODE,111,English,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65cfa02d9a613c50339503c0,5be084ec4c397b0001ec3567,APPROVED,Not Applicable,2024-02-16T17:57:44.580000Z,2024-02-16T18:39:50.981000Z,2024-02-20T20:01:11.882000Z,2024-02-16T18:39:51.527350Z,2527.0,565DE625,2061,English,28,Male,White,United States,United States,United States,English,No,Full-Time
65cfa1c4f37209b330219e01,59d9d9cd8fd07a0001842484,APPROVED,Not Applicable,2024-02-16T17:56:20.544000Z,2024-02-16T19:17:08.316000Z,2024-02-20T20:01:12.074000Z,2024-02-16T19:17:08.871185Z,4848.0,565DE625,2017,English,30,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
65cfa1f6dd3522ea73145cfc,655fab331d7db2a79875413c,APPROVED,Not Applicable,2024-02-16T17:57:19.359000Z,2024-02-16T18:45:45.428000Z,2024-02-20T20:01:12.271000Z,2024-02-16T18:45:45.866092Z,2907.0,565DE625,35,English,29,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
65cfa3d3a52c78a7919dad3c,6548bbb5d378b15bd8e187e7,APPROVED,Not Applicable,2024-02-16T18:05:26.389000Z,2024-02-16T18:56:31.838000Z,2024-02-20T20:01:12.479000Z,2024-02-16T18:56:32.730698Z,3066.0,565DE625,136,English,28,Male,White,United States,United States,United States,English,No,Full-Time
65cfa3f28113f21005cfb76f,5bd7c18f544d4f0001419960,APPROVED,Not Applicable,2024-02-16T18:09:38.404000Z,2024-02-16T18:54:43.978000Z,2024-02-20T20:01:12.705000Z,2024-02-16T18:54:44.359944Z,2706.0,565DE625,329,English,27,Female,White,United States,United States,United States,English,No,Full-Time
65cfbb508143f0d5368c771d,6100ab2066fe91a935e5d8af,APPROVED,Not Applicable,2024-02-16T19:45:35.130000Z,2024-02-16T20:29:32.116000Z,2024-02-20T20:01:12.922000Z,2024-02-16T20:29:32.869884Z,2637.0,565DE625,274,English,28,Female,White,United States,United States,United States,English,No,Full-Time
65cf968b10a252b85702c86d,5d989a27b4d967001657580d,RETURNED,Not Applicable,2024-02-16T17:08:31.913000Z,,,,,,1456,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65cf9d32fcad36af5a7e9e5e,63d13f2f59ef764f641406dd,RETURNED,Not Applicable,2024-02-16T17:37:03.342000Z,,,,,,543,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65cf9fc2ec538963d43750aa,658320c71f91fd81da01b0ad,APPROVED,Not Applicable,2024-02-16T17:47:52.216000Z,2024-02-20T20:01:17.706000Z,2024-02-20T20:01:18.573000Z,,353606.0,Manual Completion,174,English,28,Female,Black,United States,United States,United States,English,No,Full-Time
65cfa0b7b08bbcd1cca6251c,5cf845e485e94e001789fd44,RETURNED,Not Applicable,2024-02-16T18:01:51.927000Z,,,,,,1766,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
