Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65550cda942a62fd33eebf1f,601dc4afec317f1e601e72c0,APPROVED,2023-11-15T18:29:27.963000Z,2023-11-15T19:29:49.775000Z,2023-11-19T02:31:36.224000Z,2023-11-15T19:29:50.260456Z,3622,565DE625,3633,English,66,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
655514690baed50a369fd911,60b18fbfb6c5d8edfaa5bed0,APPROVED,2023-11-15T18:56:46.578000Z,2023-11-15T19:55:26.633000Z,2023-11-19T02:31:36.502000Z,2023-11-15T19:55:27.110970Z,3521,565DE625,445,English,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6555147b0c950579087d0e17,632651a9f1a00140dc2b9487,APPROVED,2023-11-15T18:57:03.430000Z,2023-11-15T19:48:06.108000Z,2023-11-19T02:31:36.652000Z,2023-11-15T19:48:06.640293Z,3063,565DE625,1814,English,78,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65551497e83901ba49401611,6376916db0ae9a57d377d0d2,APPROVED,2023-11-15T18:57:40.015000Z,2023-11-15T19:53:16.640000Z,2023-11-19T02:31:36.810000Z,2023-11-15T19:53:17.058420Z,3337,565DE625,1186,English,70,Female,White,United States,United States,United States,English,No,Full-Time
65551501a182437de8f1e60c,63b0b5cfc9252404951ac395,APPROVED,2023-11-15T18:59:29.709000Z,2023-11-15T20:00:53.398000Z,2023-11-19T02:31:36.971000Z,2023-11-15T20:00:53.872653Z,3684,565DE625,863,English,70,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6555168a665ded88c22d9d8f,622f847b881caa647e7ce207,APPROVED,2023-11-15T19:05:52.976000Z,2023-11-15T20:00:09.783000Z,2023-11-19T02:31:37.129000Z,2023-11-15T20:00:10.323115Z,3257,NOCODE,1178,English,67,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65551707afe8b02294df7a14,6413c7853eba2b2215197ff4,APPROVED,2023-11-15T19:08:20.119000Z,2023-11-15T20:00:55.468000Z,2023-11-19T02:31:37.281000Z,2023-11-15T20:00:56.002662Z,3156,565DE625,1191,English,68,Female,White,United States,United States,United States,English,No,Other
65551845346d125137698e84,62879b859698ba45e6afa90f,APPROVED,2023-11-15T19:13:36.862000Z,2023-11-15T20:03:15.299000Z,2023-11-19T02:31:37.458000Z,2023-11-15T20:03:15.774873Z,2979,565DE625,2623,English,69,Male,White,United States,United States,United States,English,No,Full-Time
655522890bb64c82dbf9966b,6552428b01eebb19576c567d,APPROVED,2023-11-15T19:57:07.302000Z,2023-11-15T20:49:59.977000Z,2023-11-19T02:31:37.625000Z,2023-11-15T20:50:00.454013Z,3173,565DE625,18,English,71,Male,Black,United States,United States,United States,English,Yes,Full-Time
655534f3e83901ba49401b73,63fcde3494055a563c72cb12,APPROVED,2023-11-15T21:15:36.711000Z,2023-11-15T21:59:43.662000Z,2023-11-19T02:31:37.779000Z,2023-11-15T21:59:44.177075Z,2647,565DE625,1413,English,76,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6568975096d5ea8733ea014b,6455616c0fe23ecca70ce1b9,APPROVED,2023-11-30T14:08:22.767000Z,2023-11-30T14:58:46.384000Z,2023-11-30T16:32:03.996000Z,2023-11-30T14:58:46.911340Z,3024,565DE625,1365,English,66,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656897728a551bd79eb47d97,610c940475aedaf9c70a190e,APPROVED,2023-11-30T14:08:59.968000Z,2023-11-30T15:07:32.094000Z,2023-11-30T16:32:03.070000Z,2023-11-30T15:07:32.575567Z,3513,565DE625,5081,English,69,Female,White,United States,United States,United States,English,No,Other
6568978c4107d5bee2ad0556,628f572a2d1304a34b9e1a37,APPROVED,2023-11-30T14:10:25.527000Z,2023-11-30T15:01:04.690000Z,2023-11-30T16:32:00.271000Z,2023-11-30T15:01:05.254152Z,3040,565DE625,3524,English,75,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
656897c7c5242d9b9a61a320,63f030e4617ebd1995cef566,APPROVED,2023-11-30T14:10:50.266000Z,2023-11-30T15:47:24.176000Z,2023-11-30T16:31:56.584000Z,2023-11-30T15:47:25.262192Z,5794,NOCODE,1421,English,67,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
656897cb1ed3bfba1f8b366c,6318be45a49442eee3a88cb3,APPROVED,2023-11-30T14:10:28.178000Z,2023-11-30T14:59:01.454000Z,2023-11-30T16:31:58.942000Z,2023-11-30T14:59:01.909311Z,2914,565DE625,2004,English,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656897e22f5959f26d6abe88,5c1ffe5295f978000173df84,APPROVED,2023-11-30T14:10:46.681000Z,2023-11-30T14:59:24.476000Z,2023-11-30T16:31:57.852000Z,2023-11-30T14:59:25.053751Z,2918,565DE625,1254,English,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6568983070f5e5dc0d20193c,5e9c8deb90dd470441c7f98e,APPROVED,2023-11-30T14:12:06.244000Z,2023-11-30T14:27:05.955000Z,2023-11-30T16:31:55.334000Z,2023-11-30T14:27:06.338707Z,900,NOCODE,3851,English,65,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65689831716b73eaff20105c,64527892acde0fbd392a41d6,APPROVED,2023-11-30T14:14:11.392000Z,2023-11-30T15:06:19.223000Z,2023-11-30T16:31:50.065000Z,2023-11-30T15:06:19.755360Z,3128,565DE625,1855,English,65,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65689879711bc05d13995fef,65450acb15b86368927f3f7f,APPROVED,2023-11-30T14:13:20.997000Z,2023-11-30T15:25:01.900000Z,2023-11-30T16:31:54.066000Z,2023-11-30T15:25:02.600108Z,4301,565DE625,153,English,73,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656898838e8039157eb0c1b7,64a281f78c5be10f0f28e3ac,APPROVED,2023-11-30T14:13:30.673000Z,2023-11-30T15:42:06.505000Z,2023-11-30T16:31:52.698000Z,2023-11-30T15:42:07.157920Z,5316,565DE625,986,English,65,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6568988c9f0b28a6d5ba9af0,654113b29db54ebe7243632a,APPROVED,2023-11-30T14:13:49.744000Z,2023-11-30T15:04:26.488000Z,2023-11-30T16:31:51.445000Z,2023-11-30T15:04:27.008444Z,3037,565DE625,176,English,75,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656899567d9611051e7d8255,64071f8576c48034c00df845,APPROVED,2023-11-30T14:17:00.248000Z,2023-11-30T15:03:33.075000Z,2023-11-30T16:31:48.426000Z,2023-11-30T15:03:33.644980Z,2793,565DE625,1558,English,69,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6568998c5d1cb11927e94973,63480954af4c7db036aa6595,APPROVED,2023-11-30T14:17:52.558000Z,2023-11-30T15:12:14.700000Z,2023-11-30T16:31:46.517000Z,2023-11-30T15:12:15.281973Z,3263,565DE625,1791,English,73,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
656899b0384dd2d17b442feb,63caa01beb22afd1f8a42b54,APPROVED,2023-11-30T14:19:58.757000Z,2023-11-30T15:40:52.890000Z,2023-11-30T16:31:42.799000Z,2023-11-30T15:40:53.535385Z,4855,565DE625,2643,English,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656899b5a52f7b169a3c7b70,60f728553a37102574b585c4,APPROVED,2023-11-30T14:18:36.429000Z,2023-11-30T15:09:19.725000Z,2023-11-30T16:31:44.694000Z,2023-11-30T15:09:20.251702Z,3044,565DE625,3079,English,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65689ea58a36714bfc6ac2ac,646d3710dea5554a4b83d2a2,APPROVED,2023-11-30T14:39:41.464000Z,2023-11-30T15:39:20.220000Z,2023-11-30T16:31:41.156000Z,2023-11-30T15:39:20.717434Z,3579,565DE625,1106,"English, German, French",73,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65550f0044de84fdfe3e3a66,64137d0dfe71cf6624348d27,RETURNED,2023-11-15T18:33:56.550000Z,,,,,,953,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6555150e4af63ed946dad00d,5deaa726df55eb1cc1b9474f,RETURNED,2023-11-15T18:59:31.756000Z,,,,,,3841,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655515337bbdbb71d914299c,5ded9996838b4f45b83bb3f9,RETURNED,2023-11-15T19:00:56.498000Z,,,,,,4369,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
655518ed1abc24b7bd51fbe7,6525a87886c97615b6991402,TIMED-OUT,2023-11-15T19:16:09.586000Z,,,,1372446,,303,English,73,Male,White,United States,United States,United States,English,No,Part-Time
65551ae3d2df0e0c7a9778de,62a3be0d93b8dd1e69b4317d,RETURNED,2023-11-15T19:24:31.279000Z,,,,,,2898,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65551ffae76f31f67c924baf,622f7f35376a1f92763ddbe2,RETURNED,2023-11-15T19:53:30.296000Z,,,,,,3154,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656896f879135f7e6f7e943b,6539204539fa1cc8a5f183e5,RETURNED,2023-11-30T14:16:48.644000Z,,,,,,303,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
