Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
654be1a656aca5bd3287e9f7,638f6f1ebb540eedd7097e44,RETURNED,Not Applicable,2023-11-08T19:29:52.953000Z,,,2024-02-15T18:45:30.674879Z,,,981,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
654be5d36c7f605e6082c817,559ef308fdf99b2616ff2a4f,TIMED-OUT,Not Applicable,2023-11-08T19:47:43.112000Z,,,2024-02-15T18:45:30.674361Z,8549868.0,,2917,English,67,Female,White,United States,United States,United States,English,No,Part-Time
654be63c8492263461142278,5dc8d8b90a0b38630af7a0ba,RETURNED,Not Applicable,2023-11-08T19:49:26.418000Z,,,2024-02-15T18:45:30.674392Z,,,1002,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
654be6da91d35b236e8c9447,5d75552566edbe0001356a20,APPROVED,,2023-11-08T19:52:19.824000Z,2023-11-08T20:42:55.236000Z,2023-11-09T14:25:31.698000Z,2023-11-08T20:42:56.321206Z,3036.0,565DE625,1721,English,66,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
654be8f0398906fa619c4632,55899b8dfdf99b7ae47f5fa4,APPROVED,,2023-11-08T20:00:52.851000Z,2023-11-08T20:49:00.970000Z,2023-11-09T14:25:31.948000Z,2023-11-08T20:49:02.312194Z,2889.0,565DE625,1357,English,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
654be938d6a1f93bf28a6219,5eab09eb60ed4e0ae2dc694f,APPROVED,,2023-11-08T20:02:05.588000Z,2023-11-08T20:48:47.808000Z,2023-11-09T14:25:32.084000Z,2023-11-08T20:48:48.405326Z,2803.0,565DE625,1878,English,66,Female,White,United States,United States,United States,English,No,Full-Time
654be9b591fd486d54217878,6130cdbb53f773b3125576a7,APPROVED,,2023-11-08T20:04:11.018000Z,2023-11-08T20:54:54.918000Z,2023-11-13T20:29:13.377000Z,2023-11-08T20:54:56.530960Z,3044.0,565DE625,1670,English,68,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
654c017631d80b3920710744,64626b7afedc6a67a08dec52,APPROVED,,2023-11-08T21:45:41.504000Z,2023-11-08T22:39:45.130000Z,2023-11-09T14:25:32.227000Z,2023-11-08T22:39:45.772955Z,3244.0,565DE625,1452,English,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
654be1a656aca5bd3287e9f7,638f6f1ebb540eedd7097e44,RETURNED,Not Applicable,2023-11-08T19:29:52.953000Z,,,2024-02-15T18:45:31.360000Z,,,1210,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
654be5d36c7f605e6082c817,559ef308fdf99b2616ff2a4f,TIMED-OUT,Not Applicable,2023-11-08T19:47:43.112000Z,,,2024-02-15T18:45:31.705000Z,21320670.0,,3126,English,67,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
