Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65550cda942a62fd33eebf1f,601dc4afec317f1e601e72c0,APPROVED,2023-11-15T18:29:27.963000Z,2023-11-15T19:29:49.775000Z,2023-11-19T02:31:36.224000Z,2023-11-15T19:29:50.260456Z,3622.0,565DE625,3633,English,66,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
65550f0044de84fdfe3e3a66,64137d0dfe71cf6624348d27,RETURNED,2023-11-15T18:33:56.550000Z,,,2024-02-15T18:51:36.305073Z,,,1052,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
655514690baed50a369fd911,60b18fbfb6c5d8edfaa5bed0,APPROVED,2023-11-15T18:56:46.578000Z,2023-11-15T19:55:26.633000Z,2023-11-19T02:31:36.502000Z,2023-11-15T19:55:27.110970Z,3521.0,565DE625,445,English,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6555147b0c950579087d0e17,632651a9f1a00140dc2b9487,APPROVED,2023-11-15T18:57:03.430000Z,2023-11-15T19:48:06.108000Z,2023-11-19T02:31:36.652000Z,2023-11-15T19:48:06.640293Z,3063.0,565DE625,1814,English,78,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65551497e83901ba49401611,6376916db0ae9a57d377d0d2,APPROVED,2023-11-15T18:57:40.015000Z,2023-11-15T19:53:16.640000Z,2023-11-19T02:31:36.810000Z,2023-11-15T19:53:17.058420Z,3337.0,565DE625,1186,English,70,Female,White,United States,United States,United States,English,No,Full-Time,
65551501a182437de8f1e60c,63b0b5cfc9252404951ac395,APPROVED,2023-11-15T18:59:29.709000Z,2023-11-15T20:00:53.398000Z,2023-11-19T02:31:36.971000Z,2023-11-15T20:00:53.872653Z,3684.0,565DE625,863,English,70,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
6555150e4af63ed946dad00d,5deaa726df55eb1cc1b9474f,RETURNED,2023-11-15T18:59:31.756000Z,,,2024-02-15T18:51:36.309945Z,,,4121,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
655515337bbdbb71d914299c,5ded9996838b4f45b83bb3f9,RETURNED,2023-11-15T19:00:56.498000Z,,,2024-02-15T18:51:36.320946Z,,,4594,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6555168a665ded88c22d9d8f,622f847b881caa647e7ce207,APPROVED,2023-11-15T19:05:52.976000Z,2023-11-15T20:00:09.783000Z,2023-11-19T02:31:37.129000Z,2023-11-15T20:00:10.323115Z,3257.0,NOCODE,1178,English,67,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
65551707afe8b02294df7a14,6413c7853eba2b2215197ff4,APPROVED,2023-11-15T19:08:20.119000Z,2023-11-15T20:00:55.468000Z,2023-11-19T02:31:37.281000Z,2023-11-15T20:00:56.002662Z,3156.0,565DE625,1191,English,68,Female,White,United States,United States,United States,English,No,Other,
65551845346d125137698e84,62879b859698ba45e6afa90f,APPROVED,2023-11-15T19:13:36.862000Z,2023-11-15T20:03:15.299000Z,2023-11-19T02:31:37.458000Z,2023-11-15T20:03:15.774873Z,2979.0,565DE625,2623,English,69,Male,White,United States,United States,United States,English,No,Full-Time,
655518ed1abc24b7bd51fbe7,6525a87886c97615b6991402,TIMED-OUT,2023-11-15T19:16:09.586000Z,,,2024-02-15T18:51:36.318864Z,7947327.0,,611,English,73,Male,White,United States,United States,United States,English,No,Part-Time,Not Applicable
65551ae3d2df0e0c7a9778de,62a3be0d93b8dd1e69b4317d,RETURNED,2023-11-15T19:24:31.279000Z,,,2024-02-15T18:51:36.320936Z,,,3249,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65551ffae76f31f67c924baf,622f7f35376a1f92763ddbe2,RETURNED,2023-11-15T19:53:30.296000Z,,,2024-02-15T18:51:36.333806Z,,,3564,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
655522890bb64c82dbf9966b,6552428b01eebb19576c567d,APPROVED,2023-11-15T19:57:07.302000Z,2023-11-15T20:49:59.977000Z,2023-11-19T02:31:37.625000Z,2023-11-15T20:50:00.454013Z,3173.0,565DE625,18,English,71,Male,Black,United States,United States,United States,English,Yes,Full-Time,
