Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65689a0a7daa302b9df58f87,5fb16308dc5973607fa3041c,APPROVED,2023-11-30T14:20:04.979000Z,2023-11-30T15:17:01.160000Z,2023-11-30T16:30:11.709000Z,2023-11-30T15:17:01.876449Z,3417.0,565DE625,3582,English,60,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65689b470726e34e023fe432,640bb9ea594c3fb80a4be5fb,APPROVED,2023-11-30T14:25:15.417000Z,2023-11-30T15:26:40.874000Z,2023-11-30T16:30:12.461000Z,2023-11-30T15:26:41.403711Z,3686.0,565DE625,768,English,49,Male,Black,United States,United States,United States,English,Yes,Full-Time,
65689e4ece39fb4869ec778e,5e8cf14c0bec230b335e060d,APPROVED,2023-11-30T14:38:10.643000Z,2023-11-30T15:25:46.907000Z,2023-11-30T16:30:14.496000Z,2023-11-30T15:25:47.462819Z,2857.0,565DE625,3823,English,47,Female,Other,Trinidad and Tobago,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
65689ef6e043ae72e07d7fda,6449707327ff66156c264c6f,APPROVED,2023-11-30T14:42:26.510000Z,2023-11-30T16:27:37.086000Z,2023-11-30T16:29:55.457000Z,2023-11-30T16:27:38.065644Z,6311.0,NOCODE,345,English,59,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
6568a0639f0b28a6d5ba9cda,5d6f19c70d5586001a769d35,RETURNED,2023-11-30T14:51:04.947000Z,,,2024-02-15T18:51:14.084718Z,,,1189,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568a0d754b8a338890bb6e4,647287f051cab7142b9ca9bf,APPROVED,2023-11-30T14:49:01.569000Z,2023-11-30T15:48:45.192000Z,2023-11-30T16:30:16.463000Z,2023-11-30T15:48:45.697940Z,3584.0,565DE625,531,"English, Hindi",52,Female,Asian,India,United States,United States,Hindi,DATA_EXPIRED,Part-Time,
6568a116cb4fe9a820164350,5c330cefca23620001b262b1,APPROVED,2023-11-30T14:50:03.829000Z,2023-11-30T15:37:40.310000Z,2023-11-30T16:29:54.536000Z,2023-11-30T15:37:40.726590Z,2857.0,565DE625,5079,English,58,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6568a1ed96d5ea8733ea0463,6428f7ac297e312f7262d93b,APPROVED,2023-11-30T14:53:37.483000Z,2023-11-30T15:44:00.003000Z,2023-11-30T16:30:15.615000Z,2023-11-30T15:44:00.829272Z,3023.0,565DE625,1045,English,59,Female,White,United States,United States,United States,English,No,Part-Time,
6568a23c8a36714bfc6ac39f,5c6f2e7632cb70000169b490,APPROVED,2023-11-30T14:54:56.019000Z,2023-11-30T15:43:58.096000Z,2023-11-30T16:30:10.019000Z,2023-11-30T15:43:58.905251Z,2943.0,565DE625,4802,English,47,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
6568a27970f5e5dc0d201b50,58189c1f883c8800010ee630,APPROVED,2023-11-30T14:57:41.855000Z,2023-11-30T15:53:50.463000Z,2023-11-30T16:30:08.790000Z,2023-11-30T15:53:51.030660Z,3369.0,565DE625,601,English,50,Female,Black,United States,United States,United States,English,No,Full-Time,
6568a315aa5d2322f04f8dc0,6373b943edc58781ec916dc9,APPROVED,2023-11-30T14:58:34.886000Z,2023-11-30T15:50:54.956000Z,2023-11-30T16:29:51.293000Z,2023-11-30T15:50:55.961119Z,3141.0,565DE625,234,English,49,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6568b8baaf2d80fa1ed26996,5fcaa3f3d991a9748f8b9e1c,RETURNED,2023-11-30T16:30:56.414000Z,,,2024-02-15T18:51:14.087437Z,,,4183,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568b8bb2ef6903ba4123c77,615914a33224dc31f1045612,APPROVED,2023-11-30T16:31:03.910000Z,2023-11-30T17:24:27.089000Z,2023-12-01T16:15:09.862000Z,2023-11-30T17:24:27.602390Z,3204.0,565DE625,2361,English,63,Male,White,United States,United States,United States,English,No,Full-Time,
6568b8bb6ab6ee801e72879d,63ea974c81ff0fffe7fb8613,RETURNED,2023-11-30T16:31:01.215000Z,,,2024-02-15T18:51:14.088480Z,,,2571,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568b8c17758975508eff0b4,62f18c2d37a5f255f351b61d,APPROVED,2023-11-30T16:31:07.640000Z,2023-11-30T17:22:02.676000Z,2023-12-01T16:15:13.249000Z,2023-11-30T17:22:03.227745Z,3056.0,565DE625,2815,English,49,Male,White,United States,United States,United States,English,No,Other,
6568b8c59fc926d13938ea94,62b35a7d9d9cd966ebcf3ef8,RETURNED,2023-11-30T16:31:05.576000Z,,,2024-02-15T18:51:14.089676Z,,,2811,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
6568b8cc6b9a08d3b4ad0d23,6543abd612dc7fc77f466814,APPROVED,2023-11-30T16:31:13.397000Z,2023-11-30T17:21:19.204000Z,2023-12-01T16:15:09.154000Z,2023-11-30T17:21:19.810061Z,3006.0,565DE625,250,English,49,Male,White,United States,United States,United States,English,No,Full-Time,
