Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656e16f1171b15820506465d,639c68bc52c767567d9cee5b,RETURNED,Not Applicable,2023-12-04T18:14:16.348000Z,,,2024-02-15T18:50:52.694548Z,,,617,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656e180f16e7aa83f7ee3fa9,6466e6a8f3ab2a0f9c362e95,RETURNED,Not Applicable,2023-12-04T18:28:11.156000Z,,,2024-02-15T18:50:52.696363Z,,,1763,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656e18d63312e5da742c1346,63c5e8422563a1600d959475,RETURNED,Not Applicable,2023-12-04T18:22:23.435000Z,,,2024-02-15T18:50:52.712468Z,,,511,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656e1c23772dcd7056f6b4c5,646b776eca37542a899c1de5,APPROVED,,2023-12-04T18:36:32.310000Z,2023-12-04T19:29:45.112000Z,2023-12-05T11:23:50.106000Z,2023-12-04T19:29:45.804573Z,3193.0,565DE625,655,English,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
656e1cac2be03d846f63b421,60f1fa8f73bf9815c88dc8cb,APPROVED,,2023-12-04T18:38:41.101000Z,2023-12-04T19:38:58.671000Z,2023-12-05T11:23:47.186000Z,2023-12-04T19:38:59.498996Z,3618.0,565DE625,1031,English,50,Female,White,United States,United States,United States,English,No,Full-Time
656e1eb9318f5a303eff62f1,60ba46dc6d46a68f1c0bc952,APPROVED,,2023-12-04T18:47:21.647000Z,2023-12-04T19:34:18.393000Z,2023-12-05T11:23:49.218000Z,2023-12-04T19:34:18.838142Z,2817.0,565DE625,3207,English,57,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
656e1ee71b0b43bcd8de0ad9,6529bcd74ee9e1df2c5061e4,RETURNED,Not Applicable,2023-12-04T18:48:20.956000Z,,,2024-02-15T18:50:52.737649Z,,,707,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656e1efef86ca9d9ceb2d4b0,646691e373f0424399e2de28,APPROVED,,2023-12-04T18:48:54.557000Z,2023-12-04T20:09:58.690000Z,2023-12-05T11:23:45.981000Z,2023-12-04T20:09:59.293989Z,4865.0,565DE625,581,English,63,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
656e1f3ca69d544c80c09735,55b6d0a4fdf99b437183f9b5,APPROVED,Not Applicable,2023-12-04T18:49:39.010000Z,2023-12-05T11:24:18.578000Z,2023-12-05T11:24:19.562000Z,2024-02-15T18:50:52.738779Z,59680.0,Manual Completion,2678,"English, Spanish",62,Female,White,United Kingdom,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656e1f735dc797808876bf73,64d50be2a6946343b620b6c4,APPROVED,,2023-12-04T18:50:34.746000Z,2023-12-04T19:40:00.870000Z,2023-12-05T11:23:48.269000Z,2023-12-04T19:40:01.458489Z,2967.0,565DE625,567,English,52,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
