Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
657b3b39c97805a82479bd14,60ff3372252a967aefd008cc,RETURNED,Not Applicable,2023-12-14T17:28:30.872000Z,,,2024-02-15T18:50:26.979625Z,,,430,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b3bc86495af184d3f07f9,62d38341176119ef45487db9,RETURNED,Not Applicable,2023-12-14T17:31:08.084000Z,,,2024-02-15T18:50:26.981672Z,,,761,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b3be1b240a1ee779e2655,610825130bf4669d1b167efe,APPROVED,,2023-12-14T17:31:43.248000Z,2023-12-14T18:20:50.510000Z,2023-12-15T14:57:15.107000Z,2023-12-14T18:20:50.980473Z,2948.0,NOCODE,1853,English,22,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
657b3c12ecb45069b64c4604,60ce10a00e94f4536eb3173e,RETURNED,Not Applicable,2023-12-14T17:42:02.781000Z,,,2024-02-15T18:50:26.987475Z,,,1197,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b3da0f959898302c149bc,5f435065ffd8ca5acb7068f1,TIMED-OUT,Not Applicable,2023-12-14T17:38:44.850000Z,,,2024-02-15T18:50:26.991103Z,5447503.0,,488,English,22,Male,Mixed,United States,United States,United States,English,No,Part-Time
657b3deaf2f0c1b798ec5ef9,61081625938d8ffb2440498f,APPROVED,,2023-12-14T17:40:01.452000Z,2023-12-14T18:52:37.630000Z,2023-12-15T14:57:17.735000Z,2023-12-14T18:52:38.180123Z,4357.0,565DE625,109,English,22,Female,White,United States,United States,United States,English,No,Full-Time
657b3ee4fc4810276d771e09,5ee774bd7d0ddb03a7661033,TIMED-OUT,Not Applicable,2023-12-14T17:44:08.659000Z,,,2024-02-15T18:50:27.004688Z,5447179.0,,406,English,23,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
657b3fc2242a862cd1dde274,60ff0201788cef38c8695833,APPROVED,,2023-12-14T17:47:51.653000Z,2023-12-14T18:36:06.058000Z,2023-12-15T14:57:14.286000Z,2023-12-14T18:36:06.564938Z,2895.0,565DE625,162,"English, Spanish",25,Female,Other,United States,United States,United States,English,Yes,Unemployed (and job seeking)
657b402365ed7330f94189da,5e1a72b0d370f42ef4051dc1,APPROVED,,2023-12-14T17:49:43.845000Z,2023-12-14T18:36:52.669000Z,2023-12-15T14:57:13.629000Z,2023-12-14T18:36:53.300224Z,2829.0,NOCODE,199,English,24,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
657b408295ccdb7072cf0757,5cd34d42fe890a00174debb5,APPROVED,,2023-12-14T17:53:58.924000Z,2023-12-14T18:40:57.293000Z,2023-12-15T14:57:11.362000Z,2023-12-14T18:40:57.809154Z,2819.0,565DE625,1714,English,22,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
657b40d2245848c8fef09545,62e05742fafd80b3f0c2e20b,APPROVED,,2023-12-14T17:52:28.869000Z,2023-12-14T18:57:17.618000Z,2023-12-15T14:57:13.062000Z,2023-12-14T18:57:18.089649Z,3889.0,565DE625,2749,English,22,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657b413aff78a49936e4c1ce,6568ae9ae8820204f4956bf7,APPROVED,,2023-12-14T17:54:05.995000Z,2023-12-14T18:43:50.247000Z,2023-12-15T14:57:09.594000Z,2023-12-14T18:43:50.747802Z,2985.0,565DE625,120,English,25,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
657b419b576044e1e7204def,616604bed27acb2f4e2841a9,APPROVED,,2023-12-14T17:55:45.304000Z,2023-12-14T18:51:37.546000Z,2023-12-15T14:57:07.688000Z,2023-12-14T18:51:38.419403Z,3353.0,565DE625,2081,"English, Japanese, Spanish",25,Male,White,United States,United States,United States,English,No,Full-Time
657b41abd07d40483c5051a7,613e002e81f4b2409b531dbd,APPROVED,,2023-12-14T17:56:24.266000Z,2023-12-14T19:27:56.875000Z,2023-12-15T14:57:04.298000Z,2023-12-14T19:27:57.292022Z,5493.0,565DE625,500,English,24,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657b41e8395eda3705177af2,60e269b58d238fbba93aed38,APPROVED,,2023-12-14T17:56:59.227000Z,2023-12-14T18:50:23.380000Z,2023-12-15T14:57:02.804000Z,2023-12-14T18:50:23.885289Z,3205.0,565DE625,4244,English,20,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657b425049832b99c6cf089b,611ac17a9d585411a2314882,APPROVED,,2023-12-14T17:58:48.901000Z,2023-12-14T19:06:56.980000Z,2023-12-15T14:57:01.164000Z,2023-12-14T19:06:57.369727Z,4089.0,565DE625,317,English,23,Female,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking)
657b425b0c807b69681bdfb4,655faafc7c71bdbb2bed6993,RETURNED,Not Applicable,2023-12-14T17:58:55.790000Z,,,2024-02-15T18:50:27.007901Z,,,108,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b4280eb7dd0f02846dfa3,655cc974613aec120f21293b,APPROVED,,2023-12-14T17:59:50.539000Z,2023-12-14T18:46:57.776000Z,2023-12-15T14:56:58.721000Z,2023-12-14T18:46:58.293980Z,2828.0,565DE625,203,English,24,Male,Black,United States,United States,United States,English,No,Part-Time
657b42c9f2f0c1b798ec6044,613ea8344b072de7f3ccb5dc,APPROVED,,2023-12-14T18:05:14.772000Z,2023-12-14T19:01:00.268000Z,2023-12-15T14:56:54.180000Z,2023-12-14T19:01:00.809199Z,3346.0,565DE625,203,English,24,Female,White,United States,United States,United States,English,No,Part-Time
657b42f98b7df8c036442236,646778f0d6b43cbeb4501454,RETURNED,Not Applicable,2023-12-14T18:01:33.439000Z,,,2024-02-15T18:50:27.007646Z,,,1365,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b4336b97689c8b5ae648a,631c26a9aca573805b1907d9,APPROVED,,2023-12-14T18:02:35.795000Z,2023-12-14T18:56:58.845000Z,2023-12-15T14:56:57.164000Z,2023-12-14T18:56:59.379402Z,3264.0,565DE625,490,English,21,Male,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
657b433d34ff210f36e31882,6575fb1c1a04b30cfb2832d5,APPROVED,,2023-12-14T18:06:50.502000Z,2023-12-14T19:01:46.007000Z,2023-12-15T14:56:51.427000Z,2023-12-14T19:01:46.555971Z,3296.0,565DE625,27,English,21,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
657b43448047a66425809ed1,655f5dd0eb19818ca157ad77,RETURNED,Not Applicable,2023-12-14T18:02:55.129000Z,,,2024-02-15T18:50:27.014527Z,,,722,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b43d35ce3f6a2a267a4ff,655f8e10ad0a87d538a94f9f,APPROVED,,2023-12-14T18:05:12.190000Z,2023-12-14T18:52:57.855000Z,2023-12-15T14:56:55.597000Z,2023-12-14T18:52:58.350934Z,2866.0,565DE625,44,"English, Vietnamese",20,Female,Asian,Vietnam,United States,United States,English,Yes,Part-Time
657b43f37316579f8bc501b4,610631ba860f21ac066946cf,APPROVED,,2023-12-14T18:08:51.694000Z,2023-12-14T19:25:03.129000Z,2023-12-15T14:56:47.633000Z,2023-12-14T19:25:03.702497Z,4572.0,565DE625,1102,"Spanish, English",22,Female,Other,United States,United States,United States,Spanish,No,Other
657b441d001f59b5c6c25f8b,62cbf51439a76e8fccd8a495,RETURNED,Not Applicable,2023-12-14T18:06:25.442000Z,,,2024-02-15T18:50:27.062156Z,,,4084,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b441fd0bd00c203ec5fa0,6547e7cd0511efc35646ac76,APPROVED,,2023-12-14T18:08:42.849000Z,2023-12-14T19:07:14.424000Z,2023-12-15T14:56:49.450000Z,2023-12-14T19:07:14.873645Z,3512.0,565DE625,79,English,22,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
657b442c0d169166f749753c,601c73af332e2d7ce9b9fe77,APPROVED,,2023-12-14T18:06:45.576000Z,2023-12-14T19:01:10.434000Z,2023-12-15T14:56:52.849000Z,2023-12-14T19:01:10.929670Z,3265.0,565DE625,727,English,21,Male,White,United States,United States,United States,English,No,Part-Time
657b44f1c5b34d5c0d62e843,656cc02d2d90244628b27e09,APPROVED,,2023-12-14T18:09:55.990000Z,2023-12-14T18:54:49.663000Z,2023-12-15T14:56:44.447000Z,2023-12-14T18:54:50.252519Z,2694.0,565DE625,78,English,20,Male,Asian,United States,United States,United States,English,No,Other
657b462feb7dd0f02846e05e,6150039e1a0e850f5c3d3fa9,RETURNED,Not Applicable,2023-12-14T18:25:11.884000Z,,,2024-02-15T18:50:27.035688Z,,,652,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b46b11a1eb0715be18065,6100350440da7a959e9bdd22,APPROVED,,2023-12-14T18:17:36.471000Z,2023-12-14T19:04:03.082000Z,2023-12-15T14:56:43.266000Z,2023-12-14T19:04:03.539901Z,2787.0,565DE625,295,English,22,Male,White,United States,United States,United States,English,No,Full-Time
657b473b8a79c8ddd6a2c35f,63e995a63f886d83e6ec5881,APPROVED,,2023-12-14T18:19:46.071000Z,2023-12-14T19:11:19.493000Z,2023-12-15T14:56:41.854000Z,2023-12-14T19:11:20.024102Z,3094.0,565DE625,427,English,22,Female,Black,United States,United States,United States,English,Yes,Part-Time
657b486930bfb14ac017912a,64187118501afa8d9e65d63b,APPROVED,,2023-12-14T18:24:45.272000Z,2023-12-14T19:21:11.984000Z,2023-12-15T14:56:39.647000Z,2023-12-14T19:21:12.681243Z,3387.0,565DE625,151,English,25,Male,Black,United States,United States,United States,English,No,Other
657b48de6aeab2b877ae5613,6015ba06aa02256df4792d15,APPROVED,,2023-12-14T18:26:43.701000Z,2023-12-14T19:10:24.330000Z,2023-12-15T14:56:35.961000Z,2023-12-14T19:10:24.897312Z,2621.0,565DE625,229,"English, Spanish",25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657b48f270d5e7446bf0aed2,612e6569f68929afb886fb5c,APPROVED,,2023-12-14T18:32:00.322000Z,2023-12-14T19:30:32.481000Z,2023-12-15T14:56:29.009000Z,2023-12-14T19:30:32.984939Z,3513.0,565DE625,1480,English,24,Female,White,United States,United States,United States,English,No,Other
657b48f81d7f071b8def35ef,63e537a4b33c1c72be91da82,RETURNED,Not Applicable,2023-12-14T18:28:14.255000Z,,,2024-02-15T18:50:27.038182Z,,,2823,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657b490b711a88636168666d,5c59e6519dd64d00018adaa8,APPROVED,,2023-12-14T18:27:26.906000Z,2023-12-14T19:12:47.230000Z,2023-12-15T14:56:34.581000Z,2023-12-14T19:12:47.826229Z,2721.0,565DE625,4124,English,24,Male,Other,United States,United States,United States,English,No,Full-Time
