Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
657c72002009bf790e6c7762,6148d5e5f56ee71921fe6955,RETURNED,Not Applicable,2023-12-15T15:34:28.657000Z,,,2024-02-15T18:49:58.710639Z,,,1272,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c741ee84dd46729ef5eb9,628804d2d0584458ddaafc0c,APPROVED,,2023-12-15T15:46:10.656000Z,2023-12-15T16:39:42.377000Z,2023-12-18T21:28:39.163000Z,2023-12-15T16:39:43.123331Z,3212.0,565DE625,725,English,35,Male,Black,United States,United States,United States,English,No,Full-Time
657c7535a15d4be127e2cd17,60408842de0f31299ea0dadc,APPROVED,,2023-12-15T15:48:13.174000Z,2023-12-15T16:42:39.130000Z,2023-12-18T21:28:39.447000Z,2023-12-15T16:42:39.678107Z,3266.0,565DE625,731,English,26,Female,Black,United States,United States,United States,English,Yes,Part-Time
657c7554861f69d5e5021ca3,5f52e45ad408d55fa156aa21,APPROVED,,2023-12-15T15:48:39.088000Z,2023-12-15T16:35:07.376000Z,2023-12-18T21:28:39.609000Z,2023-12-15T16:35:07.810288Z,2789.0,565DE625,2179,English,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
657c75fd59b922ae14a9493e,632b5400bf46cdb11db9f588,APPROVED,,2023-12-15T15:51:29.933000Z,2023-12-15T16:42:18.195000Z,2023-12-18T21:28:39.767000Z,2023-12-15T16:42:18.677637Z,3049.0,565DE625,455,English,26,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
657c764bd0cd3b961790bf90,5513256cfdf99b1607b1f47b,APPROVED,,2023-12-15T15:52:46.655000Z,2023-12-15T16:38:02.331000Z,2023-12-18T21:28:39.935000Z,2023-12-15T16:38:02.766678Z,2716.0,565DE625,4927,"English, Japanese",32,Male,White,United States,United States,United States,English,No,Full-Time
657c770a0b1c05ea800a5576,5df80710e297d55a34ee39f0,APPROVED,,2023-12-15T15:58:09.777000Z,2023-12-15T16:57:26.237000Z,2023-12-18T21:28:40.097000Z,2023-12-15T16:57:27.012790Z,3557.0,565DE625,217,English,33,Female,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c77dde86a65a034456e1a,6319fe94b95ac2abc796fbe7,RETURNED,Not Applicable,2023-12-15T15:59:29.934000Z,,,2024-02-15T18:49:58.693458Z,,,541,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c78eb3794bbc4cb8dee2d,6172b85dcc19bffb22604f1b,APPROVED,,2023-12-15T16:04:02.388000Z,2023-12-15T17:30:10.562000Z,2023-12-18T21:28:40.278000Z,2023-12-15T17:30:11.198356Z,5169.0,565DE625,1022,English,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c790b4322871b02a90696,6138c15bd47ecca8b56a704f,RETURNED,Not Applicable,2023-12-15T16:04:32.857000Z,,,2024-02-15T18:49:58.695700Z,,,1120,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c79aace9379da1dbbf21a,655f8bf1ec520e7dbbb41cff,APPROVED,,2023-12-15T16:07:15.563000Z,2023-12-15T17:08:08.931000Z,2023-12-18T21:28:40.432000Z,2023-12-15T17:08:09.454944Z,3654.0,NOCODE,67,English,26,Female,Black,United States,United States,United States,English,No,Full-Time
657c7a5fd5ff3ee6f88d88b1,6155b9c45f96867d9d9631fd,APPROVED,,2023-12-15T16:10:33.413000Z,2023-12-15T17:02:03.826000Z,2023-12-18T21:28:40.590000Z,2023-12-15T17:02:04.325265Z,3091.0,565DE625,1425,English,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c7ac5c372fc150e31a069,55d86f3569dbc30012b6869f,APPROVED,,2023-12-15T16:11:53.304000Z,2023-12-15T17:55:03.926000Z,2023-12-18T21:28:40.749000Z,2023-12-15T17:55:04.413273Z,6191.0,565DE625,845,English,34,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
657c7ac9ce9379da1dbbf265,62bdadf07a2fd70b3257e791,APPROVED,,2023-12-15T16:13:06.177000Z,2023-12-15T17:00:22.912000Z,2023-12-18T21:28:40.905000Z,2023-12-15T17:00:23.431236Z,2837.0,565DE625,2615,English,31,Female,White,United States,United States,United States,English,No,Part-Time
657c7af4e56624f8281a5139,5c6e3a445d427900014b360c,APPROVED,,2023-12-15T16:12:39.787000Z,2023-12-15T17:00:57.079000Z,2023-12-18T21:28:41.065000Z,2023-12-15T17:00:57.497872Z,2898.0,565DE625,876,English,33,Male,White,United States,United States,United States,English,No,Full-Time
657c7b2ec56918c8db65c035,5c03688d29abc00001991a3a,APPROVED,,2023-12-15T16:13:38.678000Z,2023-12-15T16:56:52.440000Z,2023-12-18T21:28:41.219000Z,2023-12-15T16:56:52.975830Z,2594.0,565DE625,830,English,25,Prefer not to say,White,United States,United States,United States,English,No,Full-Time
657c7b44d5ff3ee6f88d8924,63260e13957b6901854eed9f,TIMED-OUT,Not Applicable,2023-12-15T16:14:03.979000Z,,,2024-02-15T18:49:58.734155Z,5366155.0,,1738,English,30,Male,White,United States,United States,United States,English,Yes,Full-Time
657c7bb1cce9e8542cd8b97b,615e1782e969d4939045c54f,APPROVED,,2023-12-15T16:21:50.742000Z,2023-12-15T18:02:22.099000Z,2023-12-18T21:28:41.370000Z,2023-12-15T18:02:22.590938Z,6032.0,565DE625,1031,English,33,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c7bcd777ef3fbb2733f00,615ce4d0388d7ca055118747,APPROVED,,2023-12-15T16:16:19.513000Z,2023-12-15T17:09:58.020000Z,2023-12-18T21:28:41.520000Z,2023-12-15T17:09:58.543725Z,3219.0,565DE625,1062,English,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
657c7c33b2e2ddff5c848d79,6165af4b36cb3bae91f2e355,APPROVED,,2023-12-15T16:17:55.699000Z,2023-12-15T17:08:50.548000Z,2023-12-18T21:28:41.694000Z,2023-12-15T17:08:51.010810Z,3055.0,565DE625,657,English,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
657c7ea9ef0d0875b0fd5813,6574bd9b9b3c601d1c28500f,APPROVED,,2023-12-15T16:28:32.387000Z,2023-12-15T17:16:48.658000Z,2023-12-18T21:28:41.845000Z,2023-12-15T17:16:49.283382Z,2897.0,565DE625,19,English,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
657c7ed5f02a85b8681fff69,651af447dcee6525fe0ac08f,APPROVED,,2023-12-15T16:29:14.175000Z,2023-12-15T17:16:53.849000Z,2023-12-18T21:28:42.002000Z,2023-12-15T17:16:54.518991Z,2860.0,565DE625,534,English,32,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
657c8d46d5c01d209004aac7,5f2f86864fd821374b4367bc,APPROVED,,2023-12-15T17:30:53.815000Z,2023-12-15T18:23:25.541000Z,2023-12-18T21:28:42.156000Z,2023-12-15T18:23:25.978811Z,3152.0,565DE625,1008,English,29,Female,DATA_EXPIRED,United States,United States,United States,English,Yes,Full-Time
657c943a5e2129e22597b87e,611e54fcfb18ec5f8ac11300,RETURNED,Not Applicable,2023-12-15T18:00:28.840000Z,,,2024-02-15T18:49:58.695574Z,,,147,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c9458b3f40362c9b1c87b,61095a37fbf7b13d6f7f2f5b,APPROVED,,2023-12-15T18:01:04.575000Z,2023-12-15T19:12:57.465000Z,2023-12-18T21:28:42.315000Z,2023-12-15T19:12:58.273389Z,4313.0,565DE625,2005,English,31,Female,White,United States,United States,United States,English,No,Part-Time
657c72002009bf790e6c7762,6148d5e5f56ee71921fe6955,RETURNED,Not Applicable,2023-12-15T15:34:28.657000Z,,,2024-02-15T18:50:00.278000Z,,,1326,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c741ee84dd46729ef5eb9,628804d2d0584458ddaafc0c,APPROVED,Not Applicable,2023-12-15T15:46:10.656000Z,2023-12-15T16:39:42.377000Z,2023-12-18T21:28:39.163000Z,2023-12-15T16:39:43.364000Z,3212.0,565DE625,993,English,36,Male,Black,United States,United States,United States,English,No,Full-Time
657c7535a15d4be127e2cd17,60408842de0f31299ea0dadc,APPROVED,Not Applicable,2023-12-15T15:48:13.174000Z,2023-12-15T16:42:39.130000Z,2023-12-18T21:28:39.447000Z,2023-12-15T16:42:39.934000Z,3266.0,565DE625,1017,English,27,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c7554861f69d5e5021ca3,5f52e45ad408d55fa156aa21,APPROVED,Not Applicable,2023-12-15T15:48:39.088000Z,2023-12-15T16:35:07.376000Z,2023-12-18T21:28:39.609000Z,2023-12-15T16:35:07.967000Z,2789.0,565DE625,3479,English,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
657c75fd59b922ae14a9493e,632b5400bf46cdb11db9f588,APPROVED,Not Applicable,2023-12-15T15:51:29.933000Z,2023-12-15T16:42:18.195000Z,2023-12-18T21:28:39.767000Z,2023-12-15T16:42:18.936000Z,3049.0,565DE625,753,English,27,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Part-Time
657c764bd0cd3b961790bf90,5513256cfdf99b1607b1f47b,APPROVED,Not Applicable,2023-12-15T15:52:46.655000Z,2023-12-15T16:38:02.331000Z,2023-12-18T21:28:39.935000Z,2023-12-15T16:38:03.106000Z,2716.0,565DE625,5569,"English, Japanese",33,Male,White,United States,United States,United States,English,No,Full-Time
657c770a0b1c05ea800a5576,5df80710e297d55a34ee39f0,APPROVED,Not Applicable,2023-12-15T15:58:09.777000Z,2023-12-15T16:57:26.237000Z,2023-12-18T21:28:40.097000Z,2023-12-15T16:57:27.262000Z,3557.0,565DE625,878,English,33,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
657c77dde86a65a034456e1a,6319fe94b95ac2abc796fbe7,RETURNED,Not Applicable,2023-12-15T15:59:29.934000Z,,,2024-02-15T18:49:59.090000Z,,,732,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c78eb3794bbc4cb8dee2d,6172b85dcc19bffb22604f1b,APPROVED,Not Applicable,2023-12-15T16:04:02.388000Z,2023-12-15T17:30:10.562000Z,2023-12-18T21:28:40.278000Z,2023-12-15T17:30:11.480000Z,5169.0,565DE625,1261,English,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
