Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
657c75332e2c90776cf12c6c,5e5529ffd4c2b6526cb82340,RETURNED,Not Applicable,2023-12-15T15:48:11.890000Z,,,2024-02-15T18:49:08.258474Z,,,1341,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c7e28112e07e81ec904c5,6462477ceb093758f41d42e9,APPROVED,,2023-12-15T16:26:21.020000Z,2023-12-15T17:14:44.313000Z,2023-12-18T21:30:24.985000Z,2023-12-15T17:14:44.849755Z,2904.0,565DE625,1113,English,56,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
657c7e788fd76603f588238b,645a80c7086c5489889e618d,APPROVED,,2023-12-15T16:27:44.216000Z,2023-12-15T17:18:05.630000Z,2023-12-18T21:30:25.325000Z,2023-12-15T17:18:06.161852Z,3022.0,565DE625,230,English,56,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
657c7fcc674bf4ad8705796d,6467c9e2d169d6933ecdb639,APPROVED,,2023-12-15T16:33:22.213000Z,2023-12-15T17:34:57.128000Z,2023-12-18T21:30:25.587000Z,2023-12-15T17:34:57.671839Z,3695.0,565DE625,620,English,53,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
657c8045212dc6bd9565c202,5f4f93bcb46af5055714d433,APPROVED,,2023-12-15T16:35:24.570000Z,2023-12-15T17:28:37.875000Z,2023-12-18T21:30:25.793000Z,2023-12-15T17:28:38.471995Z,3194.0,565DE625,1937,English,57,Female,White,United States,United States,United States,English,No,Part-Time
657c811b8201fdd1dc26d06e,650c3f3a36d72f87324d708f,APPROVED,,2023-12-15T16:42:51.876000Z,2023-12-15T17:39:17.896000Z,2023-12-18T21:30:26.330000Z,2023-12-15T17:39:18.443998Z,3387.0,565DE625,572,English,53,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
657c81a961fa199f2f6815d7,5ab9d6b0e734400001d9b76a,APPROVED,,2023-12-15T16:41:18.905000Z,2023-12-15T17:35:44.703000Z,2023-12-18T21:30:26.526000Z,2023-12-15T17:35:45.129050Z,3266.0,565DE625,4899,English,DATA_EXPIRED,Female,White,United States,United States,United States,English,No,Full-Time
657c820b349bd0d585ce266e,63fa2287bd13de487b3d7393,APPROVED,,2023-12-15T16:43:18.930000Z,2023-12-15T17:32:27.909000Z,2023-12-18T21:30:26.718000Z,2023-12-15T17:32:28.433998Z,2949.0,565DE625,143,English,57,Male,White,United States,United States,United States,English,No,Full-Time
657c827c119ebdafff34672a,63b5681c49af1cbe651420bc,APPROVED,,2023-12-15T16:47:43.872000Z,2023-12-15T17:34:56.724000Z,2023-12-18T21:30:26.925000Z,2023-12-15T17:34:57.166095Z,2833.0,565DE625,2279,"English, Italian",55,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
657c8352b570264054d37d4b,598ba20f716a2c000187ce01,APPROVED,,2023-12-15T16:57:27.145000Z,2023-12-15T17:51:37.035000Z,2023-12-18T21:30:27.135000Z,2023-12-15T17:51:37.619703Z,3250.0,565DE625,4999,English,52,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
657c84b9484dd384c3c15d09,654267202e0e2fbb27b8d733,RETURNED,Not Applicable,2023-12-15T16:54:40.241000Z,,,2024-02-15T18:49:08.268096Z,,,702,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c85391a2c3da63e8e2299,63a3375101319bb7cb39f654,RETURNED,Not Applicable,2023-12-15T17:07:00.066000Z,,,2024-02-15T18:49:08.268348Z,,,864,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c87c534fdea95a1c061d5,642f6ac1b10ead55a45175ab,RETURNED,Not Applicable,2023-12-15T17:07:25.739000Z,,,2024-02-15T18:49:08.280953Z,,,1030,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c8836ca07587fb0d7c8ef,651ec2aa595edca002b3f6d8,APPROVED,,2023-12-15T17:09:15.749000Z,2023-12-15T18:00:12.927000Z,2023-12-18T21:30:27.332000Z,2023-12-15T18:00:13.726026Z,3058.0,565DE625,421,English,52,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
657c75332e2c90776cf12c6c,5e5529ffd4c2b6526cb82340,RETURNED,Not Applicable,2023-12-15T15:48:11.890000Z,,,2024-02-15T18:49:08.903000Z,,,1447,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
657c7e28112e07e81ec904c5,6462477ceb093758f41d42e9,APPROVED,Not Applicable,2023-12-15T16:26:21.020000Z,2023-12-15T17:14:44.313000Z,2023-12-18T21:30:24.985000Z,2023-12-15T17:14:45.027000Z,2904.0,565DE625,1912,English,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
657c7e788fd76603f588238b,645a80c7086c5489889e618d,APPROVED,Not Applicable,2023-12-15T16:27:44.216000Z,2023-12-15T17:18:05.630000Z,2023-12-18T21:30:25.325000Z,2023-12-15T17:18:06.390000Z,3022.0,565DE625,442,English,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
