Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
657c74708da7fff4974ac477,63d2fe57eea8cacc91a44fdd,APPROVED,2023-12-15T15:44:53.603000Z,2023-12-15T16:32:05.287000Z,2023-12-18T21:30:48.765000Z,2023-12-15T16:32:05.775726Z,2832.0,565DE625,1613,English,62,Female,White,United States,United States,United States,English,No,Part-Time,
657c7a8c1f812b3fc491b687,644ff5cdfdce8f493ccc6ca9,RETURNED,2023-12-15T16:10:57.271000Z,,,2024-02-15T18:48:42.841283Z,,,720,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
657c7fc40b9238b08c6109c8,5a5d0554ac562400015402dd,APPROVED,2023-12-15T16:33:17.284000Z,2023-12-15T17:20:29.036000Z,2023-12-18T21:30:49.068000Z,2023-12-15T17:20:29.827435Z,2832.0,565DE625,2433,English,63,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
657c805e21488c634046ebe6,570d30d942a1db000fc4cf87,RETURNED,2023-12-15T16:35:48.608000Z,,,2024-02-15T18:48:42.846229Z,,,3395,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
657c81aa3794bbc4cb8df00b,55ad7888fdf99b6eff50171d,APPROVED,2023-12-15T16:41:17.387000Z,2023-12-15T17:33:09.995000Z,2023-12-18T21:30:49.254000Z,2023-12-15T17:33:11.221711Z,3113.0,565DE625,2674,English,63,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
657c81bb484dd384c3c15c06,5d41df0ca7b5800001a0341a,RETURNED,2023-12-15T16:46:07.314000Z,,,2024-02-15T18:48:42.844225Z,,,3044,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
657c81d2ac1c8704910a489d,62f269f2a7751126ffb96a4c,APPROVED,2023-12-15T16:41:59.548000Z,2023-12-15T17:28:11.159000Z,2023-12-18T21:30:49.440000Z,2023-12-15T17:28:11.670082Z,2772.0,565DE625,1391,English,60,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
657c836a600f1b2e7665e2d6,63da9d744c860382808770bd,APPROVED,2023-12-15T16:48:46.180000Z,2023-12-15T17:51:26.398000Z,2023-12-18T21:30:49.660000Z,2023-12-15T17:51:26.872207Z,3761.0,565DE625,1873,English,62,Female,Other,Mauritius,United States,United States,French,No,Unemployed (and job seeking),
657c84a71d2a2bfe82a3b719,58b2338a898c2e0001a5ca56,APPROVED,2023-12-15T16:54:08.444000Z,2023-12-15T17:44:14.356000Z,2023-12-18T21:30:49.895000Z,2023-12-15T17:44:14.895067Z,3006.0,NOCODE,1494,English,62,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
657c850a409a9e70d20bcf66,5ebe015ae70ab70008895dbd,APPROVED,2023-12-15T16:55:42.442000Z,2023-12-15T17:41:49.494000Z,2023-12-18T21:30:50.090000Z,2023-12-15T17:41:49.998132Z,2768.0,565DE625,4403,English,60,Male,Black,Trinidad and Tobago,United States,United States,English,No,Full-Time,
