Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65cf9e1a68024bc573ea80a9,5c3161130cfe9a00012f71ff,APPROVED,Not Applicable,2024-02-16T17:40:50.290000Z,2024-02-16T18:37:01.677000Z,2024-02-20T20:02:19.793000Z,2024-02-16T18:37:02.331341Z,3372.0,565DE625,570,English,34,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
65cfa1151ceb1e49b5b33f34,5f9f03cb97b3c24fafb6d279,APPROVED,Not Applicable,2024-02-16T17:53:25.098000Z,2024-02-16T18:33:36.978000Z,2024-02-20T20:02:20.138000Z,2024-02-16T18:33:37.490527Z,2412.0,565DE625,576,English,36,Female,White,United States,United States,United States,English,No,Full-Time
65cfa74e101066c1fdafca02,6102d892986a0f83785e2470,APPROVED,Not Applicable,2024-02-16T18:20:09.334000Z,2024-02-16T19:23:14.611000Z,2024-02-20T20:02:20.341000Z,2024-02-16T19:23:15.068256Z,3786.0,565DE625,1336,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65cfa76938b52904064bbadf,628fa5a9e4861ff79f633452,RETURNED,Not Applicable,2024-02-16T18:20:32.114000Z,,,2024-02-29T17:12:24.670951Z,,,323,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65cfa8b42cdca6a5d1a06ea7,653d288c7b70fb700c1077b3,RETURNED,Not Applicable,2024-02-16T18:26:11.070000Z,,,2024-02-29T17:12:24.672167Z,,,143,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65cfaa7ae8763f6ad34384c5,60ff46f0d588d3f6f641a0ee,APPROVED,Not Applicable,2024-02-16T18:33:38.270000Z,2024-02-16T19:54:28.531000Z,2024-02-20T20:02:20.543000Z,2024-02-16T19:54:29.777524Z,4851.0,565DE625,966,English,34,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65cf9e1a68024bc573ea80a9,5c3161130cfe9a00012f71ff,APPROVED,Not Applicable,2024-02-16T17:40:50.290000Z,2024-02-16T18:37:01.677000Z,2024-02-20T20:02:19.793000Z,2024-02-16T18:37:02.550000Z,3372.0,565DE625,653,English,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
65cfa1151ceb1e49b5b33f34,5f9f03cb97b3c24fafb6d279,APPROVED,Not Applicable,2024-02-16T17:53:25.098000Z,2024-02-16T18:33:36.978000Z,2024-02-20T20:02:20.138000Z,2024-02-16T18:33:37.706000Z,2412.0,565DE625,632,English,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65cfa74e101066c1fdafca02,6102d892986a0f83785e2470,APPROVED,Not Applicable,2024-02-16T18:20:09.334000Z,2024-02-16T19:23:14.611000Z,2024-02-20T20:02:20.341000Z,2024-02-16T19:23:15.305000Z,3786.0,565DE625,1573,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65cfa76938b52904064bbadf,628fa5a9e4861ff79f633452,RETURNED,Not Applicable,2024-02-16T18:20:32.114000Z,,,2024-02-29T17:12:24.911000Z,,,349,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65cfa8b42cdca6a5d1a06ea7,653d288c7b70fb700c1077b3,RETURNED,Not Applicable,2024-02-16T18:26:11.070000Z,,,2024-02-29T17:12:25.099000Z,,,149,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65cfaa7ae8763f6ad34384c5,60ff46f0d588d3f6f641a0ee,APPROVED,Not Applicable,2024-02-16T18:33:38.270000Z,2024-02-16T19:54:28.531000Z,2024-02-20T20:02:20.543000Z,2024-02-16T19:54:30.066000Z,4851.0,565DE625,1185,English,34,Female,Black,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
