Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d0ea0dab9f1aa3eae5d17f,5e93e2a7a5de13720dffc7f9,APPROVED,Not Applicable,2024-02-17T17:17:18.922000Z,2024-02-17T18:15:13.630000Z,2024-02-20T20:03:30.899000Z,2024-02-17T18:15:14.255134Z,3475.0,565DE625,618,English,46,Male,White,United States,United States,United States,English,No,Full-Time
65d0f3c73cb896bff6ca732b,5c90094e71f3100016181ea9,APPROVED,Not Applicable,2024-02-17T17:59:31.150000Z,2024-02-17T19:20:37.511000Z,2024-02-20T20:03:31.246000Z,2024-02-17T19:20:52.482065Z,4867.0,565DE625,1733,English,43,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d0f5dacb56009c7b57f8ed,65cee11fd5cb921a108c988d,APPROVED,Not Applicable,2024-02-17T18:07:39.236000Z,2024-02-17T18:58:25.079000Z,2024-02-20T20:03:31.499000Z,2024-02-17T18:58:25.788476Z,3046.0,565DE625,13,English,45,Female,Asian,United States,United States,United States,English,No,Full-Time
65d0f85bd06d727d16d93e1a,55d4cb9158c35800113dc22e,APPROVED,Not Applicable,2024-02-17T18:18:29.333000Z,2024-02-17T19:13:31.879000Z,2024-02-20T20:03:31.730000Z,2024-02-17T19:13:32.308988Z,3303.0,565DE625,1213,English,43,Female,Black,United States,United States,United States,English,No,Part-Time
65d0f8f5901b20510b5749be,627722a4b5a575a6023a3382,APPROVED,Not Applicable,2024-02-17T18:20:55.257000Z,2024-02-17T19:19:45.757000Z,2024-02-20T20:03:31.953000Z,2024-02-17T19:19:46.273394Z,3531.0,565DE625,39,English,44,Female,Other,Canada,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65d0fc186f1938d9dbadca52,65b7cd609e8e7e53fb113123,APPROVED,Not Applicable,2024-02-17T18:34:13.795000Z,2024-02-17T19:22:41.985000Z,2024-02-20T20:03:32.199000Z,2024-02-17T19:22:42.503531Z,2909.0,565DE625,24,English,42,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65d0fc48f1264ee93bd93fce,5e9e5208595cb12230f38262,APPROVED,Not Applicable,2024-02-17T18:35:05.264000Z,2024-02-17T19:32:29.343000Z,2024-02-20T20:03:32.417000Z,2024-02-17T19:32:29.801509Z,3445.0,565DE625,650,English,46,Female,Black,United States,United States,United States,English,Yes,Due to start a new job within the next month
65d0fc4a0760c74d931bc6ae,5f773334d74b082186824cac,APPROVED,Not Applicable,2024-02-17T18:44:27.678000Z,2024-02-17T20:33:57.578000Z,2024-02-20T20:03:32.639000Z,2024-02-17T20:33:58.162093Z,6570.0,565DE625,878,English,44,Male,White,United States,United States,United States,English,No,Full-Time
65d0fd431404636f46971789,60b9689dc626572895cb801b,APPROVED,Not Applicable,2024-02-17T18:39:52.184000Z,2024-02-17T19:30:38.279000Z,2024-02-20T20:03:32.853000Z,2024-02-17T19:30:38.727941Z,3047.0,565DE625,2667,English,42,Female,White,United States,United States,United States,English,No,Part-Time
65d0fdb0a3a616bd02718015,5c7853cecad0dc0001e56ec5,APPROVED,Not Applicable,2024-02-17T18:40:55.830000Z,2024-02-17T19:49:44.773000Z,2024-02-20T20:03:33.068000Z,2024-02-17T19:49:45.235203Z,4129.0,565DE625,844,English,43,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d0fdb205bc38801d98285a,5e5c91241b530a000c03d815,RETURNED,Not Applicable,2024-02-17T18:50:50.776000Z,,,2024-02-29T17:13:02.444214Z,,,771,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d0ff8d4cc6c59fac41a1a3,5a7a88b1f1408d0001761d2d,APPROVED,Not Applicable,2024-02-17T18:49:02.134000Z,2024-02-17T19:38:51.419000Z,2024-02-20T20:03:33.279000Z,2024-02-17T19:38:51.878326Z,2990.0,565DE625,14,"French, English, Urdu, Spanish",46,Female,Asian,United States,United States,United States,Urdu,No,DATA_EXPIRED
65d0fffa0760c74d931bc7a9,654fc6eb3097bf717a4a4ead,RETURNED,Not Applicable,2024-02-17T19:01:00.061000Z,,,2024-02-29T17:13:02.464183Z,,,349,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d10286d03608ff70971bb4,5c40134b1580e900012320ab,APPROVED,Not Applicable,2024-02-17T19:01:42.265000Z,2024-02-17T19:54:54.911000Z,2024-02-20T20:03:33.493000Z,2024-02-17T19:54:55.390239Z,3193.0,565DE625,2424,English,43,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d0ea0dab9f1aa3eae5d17f,5e93e2a7a5de13720dffc7f9,APPROVED,Not Applicable,2024-02-17T17:17:18.922000Z,2024-02-17T18:15:13.630000Z,2024-02-20T20:03:30.899000Z,2024-02-17T18:15:14.461000Z,3475.0,565DE625,802,English,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
65d0f3c73cb896bff6ca732b,5c90094e71f3100016181ea9,APPROVED,Not Applicable,2024-02-17T17:59:31.150000Z,2024-02-17T19:20:37.511000Z,2024-02-20T20:03:31.246000Z,2024-02-17T19:20:52.856000Z,4867.0,565DE625,1897,English,44,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d0f5dacb56009c7b57f8ed,65cee11fd5cb921a108c988d,APPROVED,Not Applicable,2024-02-17T18:07:39.236000Z,2024-02-17T18:58:25.079000Z,2024-02-20T20:03:31.499000Z,2024-02-17T18:58:26.051000Z,3046.0,565DE625,264,English,46,Female,Asian,United States,United States,United States,English,No,Other
65d0f85bd06d727d16d93e1a,55d4cb9158c35800113dc22e,APPROVED,Not Applicable,2024-02-17T18:18:29.333000Z,2024-02-17T19:13:31.879000Z,2024-02-20T20:03:31.730000Z,2024-02-17T19:13:32.544000Z,3303.0,565DE625,1592,English,43,Female,Black,United States,United States,United States,English,No,Part-Time
65d0f8f5901b20510b5749be,627722a4b5a575a6023a3382,APPROVED,Not Applicable,2024-02-17T18:20:55.257000Z,2024-02-17T19:19:45.757000Z,2024-02-20T20:03:31.953000Z,2024-02-17T19:19:46.517000Z,3531.0,565DE625,135,English,45,Female,Other,Canada,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d0fc186f1938d9dbadca52,65b7cd609e8e7e53fb113123,APPROVED,Not Applicable,2024-02-17T18:34:13.795000Z,2024-02-17T19:22:41.985000Z,2024-02-20T20:03:32.199000Z,2024-02-17T19:22:42.743000Z,2909.0,565DE625,421,English,43,Female,White,United States,United States,United States,English,No,Full-Time
65d0fc48f1264ee93bd93fce,5e9e5208595cb12230f38262,APPROVED,Not Applicable,2024-02-17T18:35:05.264000Z,2024-02-17T19:32:29.343000Z,2024-02-20T20:03:32.417000Z,2024-02-17T19:32:30.055000Z,3445.0,565DE625,875,English,47,Female,Black,United States,United States,United States,English,Yes,Part-Time
