Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d0f4921566a1ad19af79a3,55afd54efdf99b4099d5735f,RETURNED,Not Applicable,2024-02-17T18:12:00.044000Z,,,2024-02-29T17:13:44.516413Z,,,1198,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d0ff6626db5a1be73e2438,5ea47bda5b1a9807ed89eb76,APPROVED,Not Applicable,2024-02-17T18:48:13.616000Z,2024-02-17T19:46:31.443000Z,2024-02-20T20:06:43.344000Z,2024-02-17T19:46:32.166218Z,3498.0,565DE625,5544,English,77,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d10140fe7a391178ae5399,655727ebfca43fc335260382,APPROVED,Not Applicable,2024-02-17T18:56:52.762000Z,2024-02-17T19:56:45.833000Z,2024-02-20T20:06:43.675000Z,2024-02-17T19:56:46.284472Z,3594.0,565DE625,441,English,71,Female,Black,United States,United States,United States,English,Yes,Full-Time
65d101a5b02362df64e7a1a2,5d498ea0faa15b001acd4a5d,RETURNED,Not Applicable,2024-02-17T18:57:48.140000Z,,,2024-02-29T17:13:44.517013Z,,,4572,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d1064a7c0ea4d16a309f8a,5fde4292a4d8245990ada5bc,APPROVED,Not Applicable,2024-02-17T19:17:36.950000Z,2024-02-17T20:11:59.431000Z,2024-02-20T20:06:43.881000Z,2024-02-17T20:11:59.959957Z,3263.0,565DE625,3673,English,72,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65d10ad3f1264ee93bd943a2,5ce42b3454e33d001918923a,APPROVED,Not Applicable,2024-02-17T19:37:08.212000Z,2024-02-17T20:37:20.621000Z,2024-02-20T20:06:44.243000Z,2024-02-17T20:37:21.130236Z,3613.0,565DE625,1836,English,73,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d10ade1404636f46971a87,65b671980340e4e87d9ca18a,RETURNED,Not Applicable,2024-02-17T19:37:12.389000Z,,,2024-02-29T17:13:44.518105Z,,,145,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d10bd83bbf86847b93a8c3,5fb41cbb6ab13204137b931e,APPROVED,Not Applicable,2024-02-17T19:41:43.096000Z,2024-02-17T20:45:17.766000Z,2024-02-20T20:06:44.439000Z,2024-02-17T20:45:18.266383Z,3815.0,565DE625,511,English,75,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d10d08113325527b73982e,63fba9e68d9ff349947fece5,RETURNED,Not Applicable,2024-02-17T19:46:24.206000Z,,,2024-02-29T17:13:44.521874Z,,,1006,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d10f172e4309baaa17a0df,62b601e089d3d1134aed066b,APPROVED,Not Applicable,2024-02-17T19:55:08.322000Z,2024-02-17T20:45:27.886000Z,2024-02-20T20:06:44.627000Z,2024-02-17T20:45:28.337469Z,3020.0,565DE625,3192,English,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d110f0d6a7505e08e04942,5bdc8d12b2fff7000189b6f8,APPROVED,Not Applicable,2024-02-17T20:03:05.424000Z,2024-02-17T21:03:47.271000Z,2024-02-20T20:06:44.811000Z,2024-02-17T21:03:47.737508Z,3642.0,565DE625,3827,English,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d1150599cd8872ac3d15ce,63ab29096cc555f088566bce,RETURNED,Not Applicable,2024-02-17T20:20:33.252000Z,,,2024-02-29T17:13:44.533662Z,,,1319,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d115c03bcd2ef77a280250,659d5714dc9577f554cf1385,APPROVED,Not Applicable,2024-02-17T20:23:40.756000Z,2024-02-17T21:34:35.427000Z,2024-02-20T20:06:45.005000Z,2024-02-17T21:34:35.984499Z,4255.0,565DE625,188,English,73,Female,Black,Nigeria,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65d118bfaf359b43031799d9,638e4ace1c4a380ecc49932f,APPROVED,Not Applicable,2024-02-17T20:36:29.122000Z,2024-02-17T21:36:48.311000Z,2024-02-20T20:06:45.205000Z,2024-02-17T21:36:48.789867Z,3620.0,565DE625,2139,English,73,Male,White,United States,United States,United States,English,No,Full-Time
65d118f0bbb5b1ec274b1bc1,628f700669d5f6e4e33c8d8e,RETURNED,Not Applicable,2024-02-17T20:37:11.079000Z,,,2024-02-29T17:13:44.550451Z,,,4108,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d11a63045891ca868a4e7e,63b46b4cb554f946b60fd1d6,APPROVED,Not Applicable,2024-02-17T20:44:46.144000Z,2024-02-17T22:18:21.042000Z,2024-02-20T20:06:45.472000Z,2024-02-17T22:18:21.517157Z,5615.0,565DE625,159,English,72,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65d11ac1f2eece985d8ded87,5687bbe7369319000c269af0,RETURNED,Not Applicable,2024-02-17T20:48:06.453000Z,,,2024-02-29T17:13:44.527916Z,,,2340,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d11c35572d184d1993a518,65419321636d71344c9f51a8,RETURNED,Not Applicable,2024-02-17T20:51:11.515000Z,,,2024-02-29T17:13:44.542703Z,,,467,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65d11e6d6c39a6d844a88d6f,5ef035131f1b2a546b44c391,APPROVED,Not Applicable,2024-02-17T21:00:37.737000Z,2024-02-17T22:01:32.166000Z,2024-02-20T20:06:45.680000Z,2024-02-17T22:01:32.648333Z,3655.0,565DE625,5124,English,72,Male,Asian,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65d12362cf2bb0e35ac12ba6,651eea44194fa8c200606af7,APPROVED,Not Applicable,2024-02-17T21:21:44.102000Z,2024-02-17T22:15:34.519000Z,2024-02-20T20:06:46.147000Z,2024-02-17T22:15:34.971776Z,3231.0,565DE625,630,English,75,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
